!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Thunderclap;0;Evocation;Air;1 action;;;Instantaneous;S;Bard, Druid, Warlock, Wizard;#!spells/Cantrips/Thunderclap.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Absorb Elements;1;Abjuration;Aether;1 reaction, which you take when you take acid, cold, ethereal, fire, lightning, shadow or sonic damage;Optional;;1 round / Concentration, up to 2 rounds;S;Druid, Ranger, Wizard;#!spells/Level1/Absorb Elements.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*;Animal Friendship;1;Enchantment (Charm);Light;1 action;;;24 hours;V, S, F, M (some food, which the target consumes);Bard, Cleric (Nature), Druid, Ranger;#!spells/Level1/Animal Friendship.md
no ritual,Druid*,Ranger*;Beast Bond;1;Divination;Fire;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Druid, Ranger;#!spells/Level1/Beast Bond.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Charm Person;1;Enchantment (Charm);Darkness;1 action;;;1 hour;V, S;Bard, Cleric (Trickery), Druid, Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Charm Person.md
no conc,no concentration,no ritual,Cleric*,Druid*;Create or Destroy Water;1;Conjuration (Creation) / Transmutation;Water;1 action;;;Instantaneous;V, S, F, M (a drop of water if creating water);Cleric, Druid, Sorcerer (Water Elemental);#!spells/Level1/Create or Destroy Water.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Cure Wounds;1;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level1/Cure Wounds.md
Bard*,Cleric*,Druid*,Paladin*,Ranger*,Sorcerer*,Wizard*;Detect Magic;1;Divination;Aether;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Cleric (Arcana), Druid, Paladin, Ranger, Sorcerer, Warlock (Seeker), Wizard;#!spells/Level1/Detect Magic.md
Cleric*,Druid*,Paladin*,Ranger*;Detect Poison and Disease;1;Divination;Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S, F;Cleric, Druid, Paladin, Ranger, Sorcerer (Darkness Elemental);#!spells/Level1/Detect Poison and Disease.md
no conc,no concentration,no ritual,Bard*,Druid*,Wizard*;Earth Tremor;1;Evocation;Earth;1 action;;;Instantaneous;V, S;Bard, Druid, Wizard;#!spells/Level1/Earth Tremor.md
no conc,no concentration,no ritual,Druid*;Entangle;1;Conjuration (Creation);Earth;1 action;;;1 minute;V, S;Druid;#!spells/Level1/Entangle.md
no ritual,Bard*,Druid*;Faerie Fire;1;Evocation;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Bard, Cleric (Light), Druid, Warlock (Archfey);#!spells/Level1/Faerie Fire.md
no ritual,Druid*,Ranger*,Wizard*;Fog Cloud;1;Conjuration (Creation);Air;1 action;Concentration;;1 hour;V, S;Cleric (Tempest), Druid, Ranger, Warlock (Void), Wizard;#!spells/Level1/Fog Cloud.md
no conc,no concentration,no ritual,Druid*,Ranger*;Goodberry;1;Transmutation;Light;1 action;;;Instantaneous;V, S, F;Druid, Ranger;#!spells/Level1/Goodberry.md
Bard*,Cleric*,Druid*,Wizard*;Guiding Hand;1;Divination;Aether;1 minute;Concentration;Ritual;Concentration, up to 8 hours;V, S;Bard, Cleric, Druid, Wizard;#!spells/Level1/Guiding Hand.md
no conc,no concentration,no ritual,Druid*,Wizard*;Ice Knife;1;Conjuration (Creation);Water;1 action;;;Instantaneous;S, F;Druid, Wizard;#!spells/Level1/Ice Knife.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Jump;1;Transmutation;Air;1 action;;;1 minute;V, S, F;Druid, Ranger, Wizard;#!spells/Level1/Jump.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*,Wizard*;Longstrider;1;Transmutation;Air;1 action;;;1 hour;V, S, F;Bard, Druid, Ranger, Wizard;#!spells/Level1/Longstrider.md
no conc,no concentration,Cleric*,Druid*,Paladin*;Purify Food and Drink;1;Abjuration;Light;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Paladin;#!spells/Level1/Purify Food and Drink.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Snare;1;Transmutation;Darkness;1 minute;;;1 day;V, S, M (25 feet of rope, which the spell consumes);Druid, Ranger, Wizard;#!spells/Level1/Snare.md
no conc,no concentration,Cleric*,Druid*,Warlock*,Wizard*;Soil Food and Drink;1;Transmutation;Death;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Sorcerer (Darkness Elemental), Warlock, Wizard;#!spells/Level1/Soil Food and Drink.md
no conc,no concentration,Bard*,Druid*,Ranger*;Speak with Animals;1;Divination;Fire;1 action;;Ritual;10 minutes;V, S;Bard, Cleric (Nature), Druid, Paladin (Ancients), Ranger;#!spells/Level1/Speak with Animals.md
no conc,no concentration,no ritual,Bard*,Druid*,Wizard*;Thunderwave;1;Evocation;Air;1 action;;;Instantaneous;V, S;Bard, Cleric (Tempest), Druid, Wizard;#!spells/Level1/Thunderwave.md
no conc,no concentration,Druid*,Ranger*;Wild Cunning;1;Conjuration (Calling);Fire;10 minutes;;Ritual;Instantaneous;V, S, F;Druid, Ranger;#!spells/Level1/Wild Cunning.md
no conc,no concentration,Bard*,Druid*,Ranger*;Animal Messenger;2;Enchantment (Compulsion);Fire;1 action;;Ritual;24 hours;V, S, F;Bard, Druid, Ranger;#!spells/Level2/Animal Messenger.md
no conc,no concentration,no ritual,Druid*,Ranger*;Barkskin;2;Transmutation;Earth;1 action;;;1 hour;V, S, F;Cleric (Nature), Druid, Druid (Forest), Ranger;#!spells/Level2/Barkskin.md
Druid*,Ranger*;Beast Sense;2;Divination;Fire;1 action;Concentration;Ritual;Concentration, up to 1 hour;S;Druid, Ranger;#!spells/Level2/Beast Sense.md
no ritual,Wizard*;Blur;2;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid (Desert), Warlock (Void), Wizard;#!spells/Level2/Blur.md
no ritual,Warlock*,Wizard*;Darkness;2;Evocation;Darkness;1 action;Concentration;;Concentration, up to 10 minutes;V, F;Warlock, Wizard, Druid (Swamp), Paladin (Oathbreaker);#!spells/Level2/Darkness.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Darkvision;2;Transmutation;Light;1 action;;;8 hours;V, S, F;Druid, Ranger, Wizard;#!spells/Level2/Darkvision.md
no ritual,Druid*,Wizard*;Dust Devil;2;Conjuration (Creation);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (a handful of dust/sand/powder, which the spell consumes);Druid, Wizard;#!spells/Level2/Dust Devil.md
no ritual,Druid*,Warlock*,Wizard*;Earthbind;2;Evocation;Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Warlock, Wizard;#!spells/Level2/Earthbind.md
no ritual,Druid*,Wizard*;Earthen Grasp;2;Conjuration (Creation);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Druid, Wizard;#!spells/Level2/Earthen Grasp.md
no ritual,Bard*,Cleric*,Druid*;Enhance Ability;2;Transmutation;Light;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric, Druid, Sorcerer (Djinni);#!spells/Level2/Enhance Ability.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*;Find Traps;2;Divination;Aether;1 action;;;Instantaneous;V, S;Cleric, Druid, Ranger;#!spells/Level2/Find Traps.md
no ritual,Druid*;Flame Blade;2;Evocation;Fire;1 bonus action;Concentration;;Concentration, up to 10 minutes;V, S, F;Druid, Sorcerer (Fire Elemental);#!spells/Level2/Flame Blade.md
no ritual,Druid*,Wizard*;Flaming Sphere;2;Conjuration;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Druid, Wizard, Warlock (Eternal Flame);#!spells/Level2/Flaming Sphere.md
no ritual,Druid*,Wizard*;Gust of Wind;2;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Tempest), Druid, Wizard;#!spells/Level2/Gust of Wind.md
no conc,no concentration,no ritual,Druid*,Ranger*;Healing Spirit;2;Conjuration (Summoning);Light;1 bonus action;;;30 seconds;V, S;Druid, Ranger;#!spells/Level2/Healing Spirit.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*;Healing Word;2;Necromancy (White);Light;1 reaction;;;Instantaneous;V;Bard, Cleric, Druid, Warlock (Aeonian Flame);#!spells/Level2/Healing Word.md
no ritual,Bard*,Druid*;Heat Metal;2;Transmutation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Druid, Cleric (City), Cleric (Forge);#!spells/Level2/Heat Metal.md
no ritual,Bard*,Cleric*,Druid*,Warlock*,Wizard*;Hold Person;2;Enchantment;Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Cleric (Obedience), Druid, Warlock, Wizard, Druid (Arctic), Paladin (Vengeance), Paladin (Conquest);#!spells/Level2/Hold Person.md
no ritual,Bard*,Warlock*,Wizard*;Invisibility;2;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Warlock, Wizard, Druid (Grassland), Paladin (Treachery);#!spells/Level2/Invisibility.md
no conc,no concentration,no ritual,Wizard*;Khaalt's Acid Arrow;2;Evocation;Darkness;1 action;;;Instantaneous;V, S, F;Druid (Swamp), Warlock (Undying), Wizard;#!spells/Level2/Khaalts Acid Arrow.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Lesser Restoration;2;Abjuration;Light;1 action;;;Instantaneous;V, S, F;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Paladin (Devotion), Ranger, Warlock (Aeonian Flame);#!spells/Level2/Lesser Restoration.md
no conc,no concentration,Bard*,Druid*,Ranger*;Locate Animals or Plants;2;Divination;Earth;1 action;;Ritual;Instantaneous;V, S, F;Bard, Druid, Ranger;#!spells/Level2/Locate Animals or Plants.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*;Locate Object;2;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Cleric, Druid, Paladin, Ranger, Wizard, Warlock (Seeker);#!spells/Level2/Locate Object.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Mirror Image;2;Illusion (Figment);Darkness;1 action;;;1 minute;V, S;Warlock, Wizard, Cleric (Trickery), Druid (Coast), Paladin (Treachery);#!spells/Level2/Mirror Image.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Misty Step;2;Conjuration (Teleportation);Air;1 bonus action;;;Instantaneous;S;Warlock, Wizard, Druid (Coast), Paladin (Ancients), Paladin (Vengeance);#!spells/Level2/Misty Step.md
no ritual,Druid*;Moonbeam;2;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (several seeds of any moonseed plant and a piece of opalescent feldspar);Cleric (Light), Druid, Paladin (Ancients);#!spells/Level2/Moonbeam.md
no ritual,Druid*,Ranger*;Pass Without Trace;2;Abjuration;Earth;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Cleric (Trickery), Druid, Druid (Grassland), Ranger;#!spells/Level2/Pass Without Trace.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*;Protection from Poison;2;Abjuration;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Protection), Druid, Paladin, Ranger;#!spells/Level2/Protection from Poison.md
Bard*,Cleric*,Ranger*;Silence;2;Illusion (Glamer);Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Ranger, Druid (Desert), Warlock (Undying), Warlock (Void);#!spells/Level2/Silence.md
Bard*,Druid*,Wizard*;Skywrite;2;Transmutation;Air;1 action;Concentration;Ritual;Concentration, up to 1 hour;V, S;Bard, Druid, Wizard;#!spells/Level2/Skywrite.md
no ritual,Warlock*,Wizard*;Spider Climb;2;Transmutation;Earth;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Warlock, Wizard, Druid (Forest), Druid (Mountain), Druid (Underdark);#!spells/Level2/Spider Climb.md
no ritual,Druid*,Ranger*;Spike Growth;2;Transmutation;Earth;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric (Nature), Druid, Druid (Arctic), Druid (Mountain), Ranger, Warlock (Archfey);#!spells/Level2/Spike Growth.md
no ritual,Bard*,Druid*,Wizard*;Warding Wind;2;Evocation;Air;1 action;Concentration;;Concentration, up to 10 minutes;V;Bard, Druid, Wizard;#!spells/Level2/Warding Wind.md
no conc,no concentration,no ritual,Wizard*;Web;2;Conjuration (Creation);Darkness;1 action;;;1 hour;V, S, F;Druid (Underdark), Wizard;#!spells/Level2/Web.md
no ritual,Druid*;Call Lightning;3;Conjuration (Creation);Air;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric (Tempest), Druid, Druid (Forest), Sorcerer (Air Elemental);#!spells/Level3/Call Lightning.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*;Create Food and Water;3;Conjuration (Creation);Water;1 action;;;Instantaneous;V, S;Cleric, Druid, Druid (Desert), Paladin;#!spells/Level3/Create Food and Water.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*;Daylight;3;Evocation;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Light), Druid, Druid (Grassland), Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level3/Daylight.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Warlock*,Wizard*;Dispel Magic;3;Abjuration;Water;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Arcana), Cleric (Trickery), Druid, Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level3/Dispel Magic.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Endurion's Cold Arrows;3;Transmutation;Water;1 action;;;1 hour;V, S;Druid, Ranger, Wizard;#!spells/Level3/Endurions Cold Arrows.md
no conc,no concentration,no ritual,Druid*,Sorcerer*,Wizard*;Erupting Earth;3;Transmutation;Earth;1 action;;;Instantaneous;V, S, M (a piece of obsidian);Druid, Sorcerer, Wizard;#!spells/Level3/Erupting Earth.md
no conc,no concentration,Bard*,Cleric*,Druid*,Wizard*;Feign Death;3;Necromancy (Black);Death;1 action;;Ritual;1 hour;V, S, F;Bard, Cleric, Druid, Warlock (Undying), Wizard;#!spells/Level3/Feign Death.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Flame Arrows;3;Transmutation;Fire;1 action;;;1 hour;V, S;Druid, Ranger, Wizard;#!spells/Level3/Flame Arrows.md
no ritual,Warlock*,Wizard*;Gaseous Form;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Druid (Underdark), Warlock, Wizard, Paladin (Treachery);#!spells/Level3/Gaseous Form.md
no ritual,Wizard*;Haste;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Blood), Cleric (Zeal), Druid (Grassland), Paladin (Vengeance), Wizard, Paladin (Treachery);#!spells/Level3/Haste.md
no conc,no concentration,no ritual,Druid*,Wizard*;Hydraulic Torrent;3;Conjuration (Creation);Water;1 action;;;Instantaneous;V, S, F;Druid, Wizard;#!spells/Level3/Hydraulic Torrent.md
no conc,no concentration,no ritual,Wizard*;Lightning Bolt;3;Evocation;Air;1 action;;;Instantaneous;V, S, F;Druid (Mountain), Wizard, Cleric (City);#!spells/Level3/Lightning Bolt.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*;Mass Healing Word;3;Necromancy (White);Light;1 reaction;;;Instantaneous;V;Bard, Cleric, Cleric (Obedience), Druid;#!spells/Level3/Mass Healing Word.md
no conc,no concentration,Cleric*,Druid*;Meld into Stone;3;Transmutation;Earth;1 action;;Ritual;8 hours;V, S;Cleric, Druid, Druid (Mountain), Sorcerer (Earth Elemental), Warlock (Archfey);#!spells/Level3/Meld into Stone.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*;Plant Growth;3;Transmutation;Earth;1 action or 8 hours;;;Instantaneous;V, S;Bard, Cleric (Nature), Druid, Druid (Forest), Paladin (Ancients), Ranger, Warlock (Archfey);#!spells/Level3/Plant Growth.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*,Wizard*;Protection from Energy;3;Abjuration;Water;1 action;;;10 minutes;V, S;Cleric, Cleric (Forge), Cleric (Preservation), Cleric (Protection), Druid, Druid (Desert), Paladin (Ancients), Paladin (Vengeance), Ranger, Warlock (Fiend), Wizard;#!spells/Level3/Protection from Energy.md
no ritual,Druid*,Wizard*;Sleet Storm;3;Conjuration (Creation);Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Tempest), Druid, Druid (Arctic), Warlock (Fiend), Wizard;#!spells/Level3/Sleet Storm.md
no ritual,Warlock*,Wizard*;Slow;3;Transmutation;Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Blood), Cleric (Obedience), Cleric (Protection), Druid (Arctic), Warlock, Wizard;#!spells/Level3/Slow.md
no ritual,Bard*,Druid*,Ranger*;Speak with Plants;3;Transmutation;Earth;1 action;Concentration;;Concentration, 10 minutes;V, S, F;Bard, Druid, Ranger;#!spells/Level3/Speak with Plants.md
no ritual,Bard*,Wizard*;Stinking Cloud;3;Conjuration (Creation);Death;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (a skull, a plaguestone, or a piece of material soaked in tainted water);Bard, Druid (Swamp), Druid (Underdark), Warlock (Fiend), Warlock (Undying), Wizard;#!spells/Level3/Stinking Cloud.md
no conc,no concentration,no ritual,Druid*,Ranger*;Summon Animals;3;Conjuration (Summoning);Fire;1 action;;;1 hour;V, S, M (a handful of diaspore dust, which the spell consumes, or a diaspore);Druid, Ranger;#!spells/Level3/Summon Animals.md
no conc,no concentration,no ritual,Druid*,Wizard*;Tidal Wave;3;Conjuration (Creation);Water;1 action;;;Instantaneous;V, S, F;Druid, Wizard;#!spells/Level3/Tidal Wave.md
no ritual,Druid*,Wizard*;Wall of Water;3;Conjuration (Creation);Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Druid, Wizard;#!spells/Level3/Wall of Water.md
no ritual,Druid*,Ranger*;Wall of Wind;3;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Nature), Druid, Ranger, Sorcerer (Air Elemental);#!spells/Level3/Wall of Wind.md
no conc,no concentration,Druid*,Ranger*,Wizard*;Water Breathing;3;Transmutation;Water;1 action;;Ritual;24 hours;V, S, F;Druid, Druid (Coast), Ranger, Wizard;#!spells/Level3/Water Breathing.md
no conc,no concentration,Cleric*,Druid*,Ranger*;Water Walk;3;Transmutation;Water;1 action;;Ritual;1 hour;V, S, F;Cleric, Druid, Druid (Coast), Druid (Swamp), Ranger, Sorcerer (Water Elemental), Warlock (Void);#!spells/Level3/Water Walk.md
no conc,no concentration,no ritual,Druid*,Wizard*;Water Whip;3;Conjuration (Creation);Water;1 action;;;Instantaneous;S, F;Druid, Wizard;#!spells/Level3/Water Whip.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Blight;4;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric (Blood), Cleric (Death), Cleric (Grave), Druid, Druid (Desert), Paladin (Conquest), Paladin (Oathbreaker), Warlock, Wizard;#!spells/Level4/Blight.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Charm Monster;4;Enchantment (Charm);Fire;1 action;;;1 hour;V, S;Bard, Druid, Warlock, Wizard;#!spells/Level4/Charm Monster.md
no conc,no concentration,no ritual,Wizard*;Cone of Cold;4;Evocation;Water;1 action;;;Instantaneous;V, S, F;Druid (Arctic), Wizard;#!spells/Level4/Cone of Cold.md
no ritual,Bard*,Druid*,Wizard*;Confusion;4;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric (Knowledge), Druid, Paladin (Oathbreaker), Warlock (Great Old One), Wizard, Paladin (Treachery);#!spells/Level4/Confusion.md
no conc,no concentration,no ritual,Cleric*,Druid*,Wizard*;Control Water;4;Transmutation;Water;1 action;;;10 minutes;V, S, F;Cleric, Cleric (Tempest), Druid, Druid (Coast), Warlock (Archfey), Wizard;#!spells/Level4/Control Water.md
no conc,no concentration,Cleric*;Divination;4;Divination;Water;1 action;;Ritual;Instantaneous;V, S, M (incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes);Cleric, Druid (Forest), Druid (Grassland), Sorcerer (Dream Walker);#!spells/Level4/Divination.md
no ritual,Druid*;Dominate Beast;4;Enchantment (Compulsion);Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Nature), Druid, Warlock (Archfey), Paladin (Conquest), Sorcerer (Earth Elemental), Sorcerer (Desire Demon);#!spells/Level4/Dominate Beast.md
no ritual,Druid*,Warlock*,Wizard*;Elemental Bane;4;Transmutation;Fire;1 action;Concentration;;1 minute;V, S;Druid, Warlock, Wizard;#!spells/Level4/Elemental Bane.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Ranger*;Freedom of Movement;4;Abjuration;Air;1 action;;;1 hour;V, S, F;Bard, Cleric, Cleric (War), Cleric (Zeal), Druid, Druid (Arctic), Druid (Coast), Druid (Forest), Druid (Grassland), Druid (Swamp), Paladin (Devotion), Ranger, Sorcerer (Air Elemental), Warlock (Void);#!spells/Level4/Freedom of Movement.md
no ritual,Druid*;Giant Insect;4;Transmutation;Earth;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Druid;#!spells/Level4/Giant Insect.md
no conc,no concentration,no ritual,Druid*,Ranger*;Grasping Vine;4;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;Cleric (Nature), Druid, Ranger;#!spells/Level4/Grasping Vine.md
no ritual,Bard*,Wizard*;Greater Invisibility;4;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Druid (Underdark), Warlock (Archfey), Warlock (Void), Wizard, Paladin (Treachery);#!spells/Level4/Greater Invisibility.md
no ritual,Druid*,Ranger*;Guardian of Nature;4;Transmutation;Earth;1 bonus action;Concentration;;Concentration, up to a minute;V;Druid, Ranger;#!spells/Level4/Guardian of Nature.md
no conc,no concentration,no ritual,Druid*,Wizard*;Hailstorm;4;Evocation;Water;1 action;;;Instantaneous;V, S, F;Cleric (Tempest), Druid, Druid (Arctic), Paladin (Ancients), Wizard;#!spells/Level4/Hailstorm.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Hallucinatory Terrain;4;Illusion (Glamer);Light;10 minutes;;;24 hours;V, S, F;Bard, Druid, Druid (Desert), Warlock, Wizard;#!spells/Level4/Hallucinatory Terrain.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*;Locate Creature;4;Divination;Water;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric, Cleric (City), Cleric (Obedience), Druid, Druid (Swamp), Paladin, Ranger, Warlock (Seeker), Wizard;#!spells/Level4/Locate Creature.md
no ritual,Bard*,Druid*,Warlock*,Wizard*;Polymorph;4;Transmutation;Aether;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric (Trickery), Druid, Warlock, Wizard;#!spells/Level4/Polymorph.md
no conc,no concentration,no ritual,Cleric*,Druid*,Wizard*;Stone Shape;4;Transmutation;Earth;1 action;;;Instantaneous;V, S, F;Cleric, Druid, Druid (Mountain), Druid (Underdark), Wizard;#!spells/Level4/Stone Shape.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Stoneskin;4;Abjuration;Earth;1 action;;;1 hour;V, S, M (a peridot worth 100 gp, which the spell consumes);Cleric (War), Druid, Druid (Mountain), Paladin (Ancients), Ranger, Warlock (Undying), Wizard;#!spells/Level4/Stoneskin.md
