!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Ranger*,Air*,level 3,level3,lv3,lvl3;Direct Barrage;3;Transmutation;Air;1 action;;;Instantaneous;V, S, M (pieces of ammunition or thrown weapons);Ranger;#!spells/Level3/Direct Barrage.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Water*,level 3,level3,lv3,lvl3;Endurion's Cold Arrows;3;Transmutation;Water;1 action;;;1 hour;V, S;Druid, Ranger, Wizard;#!spells/Level3/Endurion's Cold Arrows.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Fire*,level 3,level3,lv3,lvl3;Flame Arrows;3;Transmutation;Fire;1 action;;;1 hour;V, S;Druid, Ranger, Wizard;#!spells/Level3/Flame Arrows.md
no ritual,Ranger*,Air*,level 3,level3,lv3,lvl3;Lightning Arrow;3;Transmutation;Air;1 bonus action;Concentration;;1 round;V, S, M (a piece of ammunition that the spell consumes);Ranger;#!spells/Level3/Lightning Arrow.md
no conc,no concentration,no ritual,Bard*,Ranger*,Wizard*,Darkness*,level 3,level3,lv3,lvl3;Nondetection;3;Abjuration;Darkness;1 action;;;8 hours;V, S, M (apatite dust worth at least 25 gp sprinkled over the target, which the spell consumes);Bard, Cleric (Knowledge), Ranger, Warlock (Void), Wizard;#!spells/Level3/Nondetection.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*,Earth*,level 3,level3,lv3,lvl3;Plant Growth;3;Transmutation;Earth;1 action or 8 hours;;;Instantaneous;V, S;Bard, Cleric (Nature), Druid, Druid (Forest), Paladin (Ancients), Ranger, Warlock (Archfey);#!spells/Level3/Plant Growth.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*,Wizard*,Water*,level 3,level3,lv3,lvl3;Protection from Energy;3;Abjuration;Water;1 action;;;10 minutes;V, S;Cleric, Cleric (Forge), Cleric (Preservation), Cleric (Protection), Druid, Druid (Desert), Paladin (Ancients), Paladin (Vengeance), Ranger, Warlock (Fiend), Wizard;#!spells/Level3/Protection from Energy.md
no ritual,Bard*,Druid*,Ranger*,Earth*,level 3,level3,lv3,lvl3;Speak with Plants;3;Transmutation;Earth;1 action;Concentration;;Concentration, 10 minutes;V, S, F;Bard, Druid, Ranger;#!spells/Level3/Speak with Plants.md
no conc,no concentration,no ritual,Druid*,Ranger*,Fire*,level 3,level3,lv3,lvl3;Summon Animals;3;Conjuration (Summoning);Fire;1 action;;;1 hour;V, S, M (a handful of diaspore dust, which the spell consumes, or a diaspore);Druid, Ranger;#!spells/Level3/Summon Animals.md
no ritual,Druid*,Ranger*,Air*,level 3,level3,lv3,lvl3;Wall of Wind;3;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Nature), Druid, Ranger, Sorcerer (Air Elemental);#!spells/Level3/Wall of Wind.md
no conc,no concentration,Druid*,Ranger*,Wizard*,Water*,level 3,level3,lv3,lvl3;Water Breathing;3;Transmutation;Water;1 action;;Ritual;24 hours;V, S, F;Druid, Druid (Coast), Ranger, Wizard;#!spells/Level3/Water Breathing.md
no conc,no concentration,Cleric*,Druid*,Ranger*,Water*,level 3,level3,lv3,lvl3;Water Walk;3;Transmutation;Water;1 action;;Ritual;1 hour;V, S, F;Cleric, Druid, Druid (Coast), Druid (Swamp), Ranger, Sorcerer (Water Elemental), Warlock (Void);#!spells/Level3/Water Walk.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Ranger*,Air*,level 4,level4,lv4,lvl4;Freedom of Movement;4;Abjuration;Air;1 action;;;1 hour;V, S, F;Bard, Cleric, Cleric (War), Cleric (Zeal), Druid, Druid (Arctic), Druid (Coast), Druid (Forest), Druid (Grassland), Druid (Swamp), Paladin (Devotion), Ranger, Sorcerer (Air Elemental), Warlock (Void);#!spells/Level4/Freedom of Movement.md
no conc,no concentration,no ritual,Druid*,Ranger*,Earth*,level 4,level4,lv4,lvl4;Grasping Vine;4;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;Cleric (Nature), Druid, Ranger;#!spells/Level4/Grasping Vine.md
no ritual,Druid*,Ranger*,Earth*,level 4,level4,lv4,lvl4;Guardian of Nature;4;Transmutation;Earth;1 bonus action;Concentration;;Concentration, up to a minute;V;Druid, Ranger;#!spells/Level4/Guardian of Nature.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*,Water*,level 4,level4,lv4,lvl4;Locate Creature;4;Divination;Water;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric, Cleric (City), Cleric (Obedience), Druid, Druid (Swamp), Paladin, Ranger, Warlock (Seeker), Wizard;#!spells/Level4/Locate Creature.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Earth*,level 4,level4,lv4,lvl4;Stoneskin;4;Abjuration;Earth;1 action;;;1 hour;V, S, M (a peridot worth 100 gp, which the spell consumes);Cleric (War), Druid, Druid (Mountain), Paladin (Ancients), Paladin (Redemption), Ranger, Warlock (Undying), Wizard;#!spells/Level4/Stoneskin.md
no conc,no concentration,no ritual,Druid*,Ranger*,Light*,level 4,level4,lv4,lvl4;Summon Woodland Beings;4;Conjuration (Summoning);Light;1 action;;;1 hour;V, S, F, M (diaspore dust, which the spell consumes, or a whole diaspore gemstone);Druid, Ranger;#!spells/Level4/Summon Woodland Beings.md
no conc,no concentration,Druid*,Ranger*,Aether*,level 5,level5,lv5,lvl5;Commune with Nature;5;Divination;Aether;1 minute;;Ritual;Instantaneous;V, S;Druid, Druid (Arctic), Druid (Forest), Paladin (Ancients), Ranger;#!spells/Level5/Commune with Nature.md
no conc,no concentration,no ritual,Ranger*,Darkness*,level 5,level5,lv5,lvl5;Shadow Volley;5;Illusion (Shadow);Darkness;1 action;;;Instantaneous;V, S, M (one piece of ammunition or one thrown weapon);Ranger;#!spells/Level5/Shadow Volley.md
no conc,no concentration,no ritual,Ranger*,Wizard*,Air*,level 5,level5,lv5,lvl5;Steel Wind Strike;5;Conjuration (Teleportation);Air;1 action;;;Instantaneous;S, M (a metal melee weapon worth at least 0.1 gp);Ranger, Wizard;#!spells/Level5/Steel Wind Strike.md
no ritual,Ranger*,Air*,level 5,level5,lv5,lvl5;Swift Quiver;5;Conjuration (Teleportation);Air;1 bonus action;Concentration;;Concentration, up to 1 minute;V, S, M (a quiver containing at least two pieces of ammunition);Ranger;#!spells/Level5/Swift Quiver.md
no ritual,Druid*,Ranger*,Earth*,level 5,level5,lv5,lvl5;Tree Stride;5;Conjuration (Teleportation);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Nature), Druid, Druid (Forest), Paladin (Ancients), Ranger;#!spells/Level5/Tree Stride.md
no ritual,Druid*,Ranger*,Earth*,level 5,level5,lv5,lvl5;Wrath of Nature;5;Conjuration (Calling);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Ranger, Warlock (Archfey);#!spells/Level5/Wrath of Nature.md
