!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no ritual,Paladin*,Light*,level 1,level1,lv1,lvl1;Divine Favor;1;Evocation;Light;1 bonus action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (War), Paladin;#!spells/Level1/Divine Favor.md
no conc,no concentration,no ritual,Ranger*,Earth*,level 1,level1,lv1,lvl1;Ensnaring Strike;1;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;Paladin (Ancients), Ranger;#!spells/Level1/Ensnaring Strike.md
no ritual,Warlock*,Wizard*,Air*,level 1,level1,lv1,lvl1;Expeditious Retreat;1;Transmutation;Air;1 bonus action;Concentration;;Concentration, up to 10 minutes;V, S;Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Expeditious Retreat.md
no conc,no concentration,no ritual,Warlock*,Fire*,level 1,level1,lv1,lvl1;Hellish Rebuke;1;Evocation;Fire;1 reaction;;;Instantaneous;V, S;Paladin (Oathbreaker), Sorcerer (Roaring Rampage), Warlock;#!spells/Level1/Hellish Rebuke.md
no ritual,Bard*,Paladin*,Light*,level 1,level1,lv1,lvl1;Heroism;1;Enchantment (Compulsion);Light;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric (Obedience), Paladin;#!spells/Level1/Heroism.md
no ritual,Ranger*,Fire*,level 1,level1,lv1,lvl1;Hunter's Mark;1;Divination;Fire;1 bonus action;Concentration;;Concentration, up to 1 hour;V;Paladin (Vengeance), Ranger;#!spells/Level1/Hunter's Mark.md
no conc,no concentration,no ritual,Cleric*,Death*,level 1,level1,lv1,lvl1;Inflict Wounds;1;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Paladin (Oathbreaker), Sorcerer (Desire Demon), Warlock (Fiend);#!spells/Level1/Inflict Wounds.md
no ritual,Cleric*,Paladin*,Warlock*,Wizard*,Water*,level 1,level1,lv1,lvl1;Protection from Evil or Good;1;Abjuration;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, M (holy/unholy water, depending on target alignment, or powdered silver and iron, which the spell consumes);Cleric, Cleric (Protection), Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level1/Protection from Evil or Good.md
no conc,no concentration,Cleric*,Druid*,Paladin*,Light*,level 1,level1,lv1,lvl1;Purify Food and Drink;1;Abjuration;Light;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Paladin;#!spells/Level1/Purify Food and Drink.md
no conc,no concentration,no ritual,Cleric*,Light*,level 1,level1,lv1,lvl1;Sanctuary;1;Abjuration;Light;1 bonus action;;;1 minute;V, S, F;Cleric, Paladin (Devotion), Paladin (Redemption), Warlock (Great Old One);#!spells/Level1/Sanctuary.md
no conc,no concentration,no ritual,Paladin*,Fire*,level 1,level1,lv1,lvl1;Searing Smite;1;Evocation;Fire;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Cleric (Forge), Cleric (Zeal), Paladin, Sorcerer (Fire Elemental);#!spells/Level1/Searing Smite.md
no ritual,Cleric*,Paladin*,Light*,level 1,level1,lv1,lvl1;Shield of Faith;1;Abjuration;Light;1 bonus action;Concentration;;1 minute;V, S, F;Cleric, Cleric (War), Paladin;#!spells/Level1/Shield of Faith.md
no conc,no concentration,no ritual,Bard*,Wizard*,Darkness*,level 1,level1,lv1,lvl1;Sleep;1;Enchantment (Compulsion);Darkness;1 action;;;1 minute;V, S, F;Bard, Cleric (Blood), Paladin (Redemption), Warlock (Archfey), Warlock (Void), Wizard;#!spells/Level1/Sleep.md
no conc,no concentration,Bard*,Druid*,Ranger*,Fire*,level 1,level1,lv1,lvl1;Speak with Animals;1;Divination;Fire;1 action;;Ritual;10 minutes;V, S;Bard, Cleric (Nature), Druid, Paladin (Ancients), Ranger;#!spells/Level1/Speak with Animals.md
no conc,no concentration,no ritual,Paladin*,Air*,level 1,level1,lv1,lvl1;Thunderous Smite;1;Evocation;Air;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Cleric (Zeal), Paladin, Sorcerer (Earth Elemental);#!spells/Level1/Thunderous Smite.md
no conc,no concentration,no ritual,Paladin*,Death*,level 1,level1,lv1,lvl1;Wrathful Smite;1;Evocation;Death;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Paladin;#!spells/Level1/Wrathful Smite.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Light*,level 2,level2,lv2,lvl2;Aid;2;Abjuration;Light;1 action;;;8 hours;V, S, F;Cleric, Paladin, Cleric (Preservation), Cleric (Protection);#!spells/Level2/Aid.md
no conc,no concentration,no ritual,Paladin*,Light*,level 2,level2,lv2,lvl2;Branding Smite;2;Evocation;Light;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Paladin;#!spells/Level2/Branding Smite.md
no ritual,Bard*,Cleric*,Water*,level 2,level2,lv2,lvl2;Calm Emotions;2;Enchantment (Compulsion);Water;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric, Paladin (Redemption), Sorcerer (Water Elemental), Warlock (Archfey);#!spells/Level2/Calm Emotions.md
no ritual,Bard*,Warlock*,Wizard*,Darkness*,level 2,level2,lv2,lvl2;Crown of Madness;2;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Paladin (Oathbreaker), Warlock, Wizard;#!spells/Level2/Crown of Madness.md
no ritual,Warlock*,Wizard*,Darkness*,level 2,level2,lv2,lvl2;Darkness;2;Evocation;Darkness;1 action;Concentration;;Concentration, up to 10 minutes;V, F;Warlock, Wizard, Druid (Subterra), Paladin (Oathbreaker);#!spells/Level2/Darkness.md
no conc,no concentration,no ritual,Paladin*,Aether*,level 2,level2,lv2,lvl2;Find Steed;2;Conjuration (Calling);Aether;10 minutes;;;Instantaneous;V, S, F, M (kaosite dust worth at least 25 gp, incense and herbs, all of which the spell consumes);Paladin;#!spells/Level2/Find Steed.md
no ritual,Bard*,Cleric*,Druid*,Warlock*,Wizard*,Earth*,level 2,level2,lv2,lvl2;Hold Person;2;Enchantment;Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Cleric (Obedience), Druid, Druid (Arctic), Druid (Swamp), Warlock, Wizard, Paladin (Vengeance), Paladin (Conquest), Paladin (Redemption);#!spells/Level2/Hold Person.md
no ritual,Bard*,Warlock*,Wizard*,Darkness*,level 2,level2,lv2,lvl2;Invisibility;2;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Warlock, Wizard, Druid (Grassland), Paladin (Treachery);#!spells/Level2/Invisibility.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 2,level2,lv2,lvl2;Lesser Restoration;2;Abjuration;Light;1 action;;;Instantaneous;V, S, F;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Paladin (Devotion), Ranger, Warlock (Aeonian Flame);#!spells/Level2/Lesser Restoration.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*,Water*,level 2,level2,lv2,lvl2;Locate Object;2;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Cleric, Druid, Paladin, Ranger, Wizard, Warlock (Seeker);#!spells/Level2/Locate Object.md
no conc,no concentration,no ritual,Paladin*,Wizard*,Aether*,level 2,level2,lv2,lvl2;Magic Weapon;2;Transmutation;Aether;1 bonus action;;;1 hour;V, S;Paladin, Wizard, Cleric (Arcana), Cleric (War), Cleric (Forge), Cleric (Zeal);#!spells/Level2/Magic Weapon.md
no conc,no concentration,no ritual,Warlock*,Wizard*,Darkness*,level 2,level2,lv2,lvl2;Mirror Image;2;Illusion (Figment);Darkness;1 action;;;1 minute;V, S;Warlock, Wizard, Cleric (Trickery), Druid (Coast), Paladin (Treachery);#!spells/Level2/Mirror Image.md
no conc,no concentration,no ritual,Warlock*,Wizard*,Air*,level 2,level2,lv2,lvl2;Misty Step;2;Conjuration (Teleportation);Air;1 bonus action;;;Instantaneous;S;Warlock, Wizard, Druid (Coast), Paladin (Ancients), Paladin (Vengeance);#!spells/Level2/Misty Step.md
no ritual,Druid*,Light*,level 2,level2,lv2,lvl2;Moonbeam;2;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (several seeds of any moonseed plant and a piece of opalescent feldspar);Cleric (Light), Druid, Paladin (Ancients);#!spells/Level2/Moonbeam.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 2,level2,lv2,lvl2;Protection from Poison;2;Abjuration;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Protection), Druid, Paladin, Ranger;#!spells/Level2/Protection from Poison.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Light*,level 2,level2,lv2,lvl2;Warding Bond;2;Abjuration;Light;1 action;;;1 hour;V, S, F, M (a pair of white gold rings worth at least 50 gp each, which you and target must wear for the duration);Cleric, Paladin;#!spells/Level2/Warding Bond.md
no conc,no concentration,no ritual,Bard*,Cleric*,Paladin*,Water*,level 2,level2,lv2,lvl2;Zone of Truth;2;Enchantment (Compulsion);Water;1 action;;;10 minutes;V;Bard, Cleric, Cleric (Obedience), Paladin, Paladin (Devotion), Paladin (Crown);#!spells/Level2/Zone of Truth.md
no conc,no concentration,no ritual,Cleric*,Wizard*,Death*,level 3,level3,lv3,lvl3;Animate Dead;3;Necromancy (Black);Death;1 minute;;;24 hours;V, S, F;Cleric, Cleric (Death), Druid (Spores), Paladin (Oathbreaker), Wizard;#!spells/Level3/Animate Dead.md
no ritual,Paladin*,Light*,level 3,level3,lv3,lvl3;Aura of Vitality;3;Necromancy (White);Light;1 action;Concentration;;Concentration, up to 1 minute;V;Paladin, Paladin (Crown);#!spells/Level3/Aura of Vitality.md
no ritual,Cleric*,Light*,level 3,level3,lv3,lvl3;Beacon of Hope;3;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric, Cleric (Life), Cleric (Preservation), Paladin (Devotion), Sorcerer (Angel);#!spells/Level3/Beacon of Hope.md
no ritual,Bard*,Cleric*,Wizard*,Death*,level 3,level3,lv3,lvl3;Bestow Curse;3;Necromancy (Black);Death;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric, Paladin (Oathbreaker), Warlock (Great Old One), Wizard;#!spells/Level3/Bestow Curse.md
no conc,no concentration,no ritual,Paladin*,Light*,level 3,level3,lv3,lvl3;Blinding Smite;3;Evocation;Light;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Paladin;#!spells/Level3/Blinding Smite.md
no conc,no concentration,no ritual,Warlock*,Wizard*,Water*,level 3,level3,lv3,lvl3;Counterspell;3;Abjuration;Water;1 reaction;;;Instantaneous;S;Paladin (Redemption), Warlock, Wizard;#!spells/Level3/Counterspell.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Water*,level 3,level3,lv3,lvl3;Create Food and Water;3;Conjuration (Creation);Water;1 action;;;Instantaneous;V, S;Cleric, Druid, Druid (Desert), Paladin;#!spells/Level3/Create Food and Water.md
no ritual,Paladin*,Light*,level 3,level3,lv3,lvl3;Crusader's Mantle;3;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, F;Cleric (War), Paladin;#!spells/Level3/Crusader's Mantle.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 3,level3,lv3,lvl3;Daylight;3;Evocation;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Light), Druid, Druid (Grassland), Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level3/Daylight.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Warlock*,Wizard*,Water*,level 3,level3,lv3,lvl3;Dispel Magic;3;Abjuration;Water;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Arcana), Cleric (Trickery), Druid, Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level3/Dispel Magic.md
no conc,no concentration,no ritual,Paladin*,Wizard*,Aether*,level 3,level3,lv3,lvl3;Elemental Weapon;3;Transmutation;Aether;1 action;;;1 hour;V, S;Paladin, Cleric (Forge), Sorcerer (Darkness Elemental), Sorcerer (Fire Elemental), Sorcerer (Water Elemental), Wizard;#!spells/Level3/Elemental Weapon.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*,Death*,level 3,level3,lv3,lvl3;Fear;3;Illusion (Phantasm);Death;1 action;;;1 minute;V, S, F;Bard, Druid (Subterra), Warlock, Wizard, Paladin (Conquest);#!spells/Level3/Fear.md
no ritual,Druid*,Warlock*,Wizard*,Air*,level 3,level3,lv3,lvl3;Gaseous Form;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Druid, Druid (Spores), Warlock, Wizard, Paladin (Treachery);#!spells/Level3/Gaseous Form.md
no ritual,Wizard*,Air*,level 3,level3,lv3,lvl3;Haste;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Blood), Cleric (Zeal), Druid (Grassland), Paladin (Vengeance), Wizard, Paladin (Treachery);#!spells/Level3/Haste.md
no ritual,Bard*,Warlock*,Wizard*,Light*,level 3,level3,lv3,lvl3;Hypnotic Pattern;3;Illusion (Pattern);Light;1 action;Concentration;;Concentration, up to 1 minute;S, M (incense imbued with mystic quartz dust);Bard, Paladin (Redemption), Warlock, Wizard;#!spells/Level3/Hypnotic Pattern.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Warlock*,Wizard*,Water*,level 3,level3,lv3,lvl3;Magic Circle;3;Abjuration;Water;1 minute;;;1 hour;V, S, M (a component depending on the effect, which the spell consumes);Cleric, Cleric (Arcana), Paladin, Warlock, Wizard;#!spells/Level3/Magic Circle.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*,Earth*,level 3,level3,lv3,lvl3;Plant Growth;3;Transmutation;Earth;1 action or 8 hours;;;Instantaneous;V, S;Bard, Cleric (Nature), Druid, Druid (Forest), Paladin (Ancients), Ranger, Warlock (Archfey);#!spells/Level3/Plant Growth.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*,Wizard*,Water*,level 3,level3,lv3,lvl3;Protection from Energy;3;Abjuration;Water;1 action;;;10 minutes;V, S;Cleric, Cleric (Forge), Cleric (Preservation), Cleric (Protection), Druid, Druid (Desert), Paladin (Ancients), Paladin (Vengeance), Ranger, Warlock (Fiend), Wizard;#!spells/Level3/Protection from Energy.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Warlock*,Wizard*,Light*,level 3,level3,lv3,lvl3;Remove Curse;3;Abjuration;Light;1 action;;;Instantaneous;V, S, F, M (incense and one of the following: holy water, a vial of mercury worth at least 50 gp, diamond dust worth at least 50 gp, or cosmic opal dust worth at least 50 gp, all of which the spell consumes);Cleric, Paladin, Warlock, Wizard;#!spells/Level3/Remove Curse.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Light*,level 3,level3,lv3,lvl3;Revivify;3;Necromancy (White);Light;1 action;;;Instantaneous;V, S, M (diamonds worth 300 gp, which the spell consumes);Cleric, Cleric (Life), Paladin, Cleric (Grave), Warlock (Aeonian Flame);#!spells/Level3/Revivify.md
no ritual,Cleric*,Light*,level 3,level3,lv3,lvl3;Spirit Guardians;3;Conjuration (Summoning);Light;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric, Cleric (War), Paladin (Crown);#!spells/Level3/Spirit Guardians.md
no ritual,Cleric*,Paladin*,Light*,level 4,level4,lv4,lvl4;Aura of Life;4;Abjuration;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Cleric, Paladin;#!spells/Level4/Aura of Life.md
no ritual,Cleric*,Paladin*,Light*,level 4,level4,lv4,lvl4;Aura of Purity;4;Abjuration;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Cleric, Cleric (Light), Paladin;#!spells/Level4/Aura of Purity.md
no ritual,Cleric*,Paladin*,Warlock*,Wizard*,Water*,level 4,level4,lv4,lvl4;Banishment;4;Abjuration;Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (an item distasteful to the target);Cleric, Paladin, Paladin (Crown), Paladin (Vengeance), Warlock, Wizard;#!spells/Level4/Banishment.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*,Death*,level 4,level4,lv4,lvl4;Blight;4;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric (Blood), Cleric (Death), Cleric (Grave), Druid, Druid (Desert), Druid (Spores), Paladin (Conquest), Paladin (Oathbreaker), Warlock, Wizard;#!spells/Level4/Blight.md
no ritual,Bard*,Druid*,Wizard*,Darkness*,level 4,level4,lv4,lvl4;Confusion;4;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric (Knowledge), Druid, Druid (Spores), Paladin (Oathbreaker), Warlock (Great Old One), Wizard, Paladin (Treachery);#!spells/Level4/Confusion.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Light*,level 4,level4,lv4,lvl4;Death Ward;4;Abjuration;Light;1 action;;;8 hours;V, S;Cleric, Cleric (Grave), Cleric (Life), Cleric (Preservation), Paladin, Warlock (Undying);#!spells/Level4/Death Ward.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*,Aether*,level 4,level4,lv4,lvl4;Dimension Door;4;Conjuration (Teleportation);Aether;1 action;;;Instantaneous;V;Bard, Cleric (Trickery), Paladin (Vengeance), Warlock, Wizard;#!spells/Level4/Dimension Door.md
no ritual,Druid*,Fire*,level 4,level4,lv4,lvl4;Dominate Beast;4;Enchantment (Compulsion);Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Nature), Druid, Warlock (Archfey), Paladin (Conquest), Sorcerer (Earth Elemental), Sorcerer (Desire Demon);#!spells/Level4/Dominate Beast.md
no ritual,Wizard*,Aether*,level 4,level4,lv4,lvl4;Enclosing Sphere;4;Evocation;Aether;1 action;Concentration;;Concentration, up to 1 minute;V, S, F, M (a prasiolite);Wizard, Cleric (Protection), Paladin (Redemption);#!spells/Level4/Enclosing Sphere.md
no conc,no concentration,no ritual,Paladin*,Aether*,level 4,level4,lv4,lvl4;Find Greater Steed;4;Conjuration (Calling);Aether;10 minutes;;;Instantaneous;V, S, F, M (kaosite dust worth at least 100 gp, incense and herbs all of which the spell consumes;Paladin;#!spells/Level4/Find Greater Steed.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Ranger*,Air*,level 4,level4,lv4,lvl4;Freedom of Movement;4;Abjuration;Air;1 action;;;1 hour;V, S, F;Bard, Cleric, Cleric (War), Cleric (Zeal), Druid, Druid (Arctic), Druid (Coast), Druid (Forest), Druid (Grassland), Druid (Swamp), Paladin (Devotion), Ranger, Sorcerer (Air Elemental), Warlock (Void);#!spells/Level4/Freedom of Movement.md
no ritual,Bard*,Wizard*,Darkness*,level 4,level4,lv4,lvl4;Greater Invisibility;4;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Druid (Subterra), Warlock (Archfey), Warlock (Void), Wizard, Paladin (Treachery);#!spells/Level4/Greater Invisibility.md
no conc,no concentration,no ritual,Cleric*,Light*,level 4,level4,lv4,lvl4;Guardian of Faith;4;Conjuration (Summoning);Light;1 action;;;8 hours;V;Cleric, Cleric (Life), Cleric (Light), Cleric (Preservation), Cleric (Protection), Paladin (Crown), Paladin (Devotion), Warlock (Aeonian Flame);#!spells/Level4/Guardian of Faith.md
no conc,no concentration,no ritual,Druid*,Wizard*,Water*,level 4,level4,lv4,lvl4;Hailstorm;4;Evocation;Water;1 action;;;Instantaneous;V, S, F;Cleric (Tempest), Druid, Druid (Arctic), Paladin (Ancients), Wizard;#!spells/Level4/Hailstorm.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*,Water*,level 4,level4,lv4,lvl4;Locate Creature;4;Divination;Water;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric, Cleric (City), Cleric (Obedience), Druid, Druid (Swamp), Paladin, Ranger, Warlock (Seeker), Wizard;#!spells/Level4/Locate Creature.md
no conc,no concentration,no ritual,Paladin*,Darkness*,level 4,level4,lv4,lvl4;Staggering Smite;4;Evocation;Darkness;1 bonus action;;;1 round;V;Paladin;#!spells/Level4/Staggering Smite.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Earth*,level 4,level4,lv4,lvl4;Stoneskin;4;Abjuration;Earth;1 action;;;1 hour;V, S, M (a peridot worth 100 gp, which the spell consumes);Cleric (War), Druid, Druid (Mountain), Paladin (Ancients), Paladin (Redemption), Ranger, Warlock (Undying), Wizard;#!spells/Level4/Stoneskin.md
no conc,no concentration,no ritual,Paladin*,Water*,level 5,level5,lv5,lvl5;Banishing Smite;5;Abjuration;Water;1 melee attack;Optional;;Instantaneous / Concentration, up to 1 minute;V, S;Paladin;#!spells/Level5/Banishing Smite.md
no ritual,Paladin*,Water*,level 5,level5,lv5,lvl5;Circle of Protection;5;Abjuration;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, F;Paladin, Paladin (Crown), Warlock (Void);#!spells/Level5/Circle of Protection.md
no conc,no concentration,Druid*,Ranger*,Aether*,level 5,level5,lv5,lvl5;Commune with Nature;5;Divination;Aether;1 minute;;Ritual;Instantaneous;V, S;Druid, Druid (Arctic), Druid (Forest), Paladin (Ancients), Ranger;#!spells/Level5/Commune with Nature.md
no conc,no concentration,Cleric*,Aether*,level 5,level5,lv5,lvl5;Commune;5;Divination;Aether;1 minute;;Ritual;1 minute;V, S, M (incense and a vial of holy or unholy water);Cleric, Cleric (Obedience), Paladin (Devotion), Sorcerer (Djinni), Sorcerer (Dream Walker), Warlock (Seeker), Warlock (Undying);#!spells/Level5/Commune.md
no conc,no concentration,no ritual,Cleric*,Druid*,Warlock*,Death*,level 5,level5,lv5,lvl5;Contagion;5;Necromancy (Black);Death;1 action;;;7 days;V, S;Cleric, Druid, Druid (Spores), Paladin (Oathbreaker), Warlock;#!spells/Level5/Contagion.md
no conc,no concentration,no ritual,Paladin*,Earth*,level 5,level5,lv5,lvl5;Destructive Wave;5;Evocation;Earth;1 action;;;Instantaneous;V, S;Cleric (Tempest), Cleric (Zeal), Warlock (The Sentient Sword), Paladin;#!spells/Level5/Destructive Wave.md
no ritual,Cleric*,Paladin*,Water*,level 5,level5,lv5,lvl5;Dispel Evil or Good;5;Abjuration;Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (holy or unholy water, which this spell consumes);Cleric, Paladin;#!spells/Level5/Dispel Evil or Good.md
no conc,no concentration,no ritual,Bard*,Wizard*,Darkness*,level 5,level5,lv5,lvl5;Dominate Person;5;Enchantment (Compulsion);Darkness;1 action;;;1 minute;V, S;Bard, Cleric (Obedience), Cleric (Trickery), Warlock (Great Old One), Paladin (Conquest), Paladin (Oathbreaker), Paladin (Treachery), Warlock (Great Old One), Wizard;#!spells/Level5/Dominate Person.md
no conc,no concentration,no ritual,Cleric*,Warlock*,Fire*,level 5,level5,lv5,lvl5;Flame Strike;5;Evocation;Fire;1 action;;;Instantaneous;V, S, M (pinch of sulfur);Cleric, Cleric (Light), Cleric (War), Cleric (Zeal), Warlock, Paladin (Devotion);#!spells/Level5/Flame Strike.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Wizard*,Darkness*,level 5,level5,lv5,lvl5;Geas;5;Enchantment (Compulsion);Darkness;1 minute;;;28 days;V;Bard, Cleric, Druid, Paladin, Paladin (Crown), Warlock (Great Old One), Wizard;#!spells/Level5/Geas.md
no ritual,Bard*,Warlock*,Wizard*,Earth*,level 5,level5,lv5,lvl5;Hold Monster;5;Enchantment (Compulsion);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric (Blood), Cleric (War), Paladin (Redemption), Paladin (Vengeance), Warlock, Wizard;#!spells/Level5/Hold Monster.md
no ritual,Cleric*,Paladin*,Light*,level 5,level5,lv5,lvl5;Holy Weapon;5;Evocation;Light;1 bonus action;Concentration;;Concentration, up to 1 hour;V, S;Cleric, Paladin, Warlock (Aeonian Flame);#!spells/Level5/Holy Weapon.md
