!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Prestidigitation;0;Transmutation;Aether;1 action;;;Up to 1 hour;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Prestidigitation.md
no conc,no concentration,no ritual,Druid*;Primal Savagery;0;Transmutation;Earth;1 action;;;Instantaneous;S;Druid;#!spells/Cantrips/Primal Savagery.md
no conc,no concentration,no ritual,Druid*;Produce Flame;0;Evocation;Fire;1 action;;;10 minutes;V, S;Druid, Sorcerer (Desire Demon), Sorcerer (Fire Elemental), Sorcerer (Efreeti);#!spells/Cantrips/Produce Flame.md
no conc,no concentration,no ritual,Wizard*;Ray of Frost;0;Evocation;Water;1 action;;;Instantaneous/1 round;V, S;Wizard;#!spells/Cantrips/Ray of Frost.md
no conc,no concentration,no ritual,Cleric*,Druid*;Resistance;0;Abjuration;Earth;1 reaction;;;Instantaneous;V, S;Cleric, Druid, Sorcerer (Earth Elemental);#!spells/Cantrips/Resistance.md
no conc,no concentration,no ritual,Cleric*;Sacred Flame;0;Evocation;Light;1 action;;;Instantaneous;V, S;Cleric;#!spells/Cantrips/Sacred Flame.md
no conc,no concentration,no ritual,Druid*,Wizard*;Shape Water;0;Transmutation;Water;1 action;;;Instantaneous or 1 hour (see below);S;Druid, Wizard;#!spells/Cantrips/Shape Water.md
no conc,no concentration,no ritual,Druid*;Shillelagh;0;Transmutation;Earth;1 bonus action;;;1 minute;V, S, M (a club or quarterstaff);Druid;#!spells/Cantrips/Shillelagh.md
no conc,no concentration,no ritual,Wizard*;Shocking Grasp;0;Evocation;Air;1 action;;;Instantaneous;V, S;Wizard;#!spells/Cantrips/Shocking Grasp.md
no conc,no concentration,no ritual,Cleric*;Spare the Dying;0;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Cleric, Sorcerer (Angel);#!spells/Cantrips/Spare the Dying.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Sword Burst;0;Illusion (Shadow);Darkness;1 action;;;Instantaneous;V, S;Warlock, Wizard;#!spells/Cantrips/Sword Burst.md
no conc,no concentration,no ritual,Cleric*;Thaumaturgy;0;Transmutation;Aether;1 action;;;Up to 1 minute;V;Cleric, Sorcerer (Roaring Rampage);#!spells/Cantrips/Thaumaturgy.md
no conc,no concentration,no ritual,Druid*;Thorn Whip;0;Transmutation;Earth;1 action;;;Instantaneous;V, S;Druid;#!spells/Cantrips/Thorn Whip.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Thunderclap;0;Evocation;Air;1 action;;;Instantaneous;S;Bard, Druid, Warlock, Wizard;#!spells/Cantrips/Thunderclap.md
no conc,no concentration,no ritual,Cleric*,Warlock*,Wizard*;Toll the Dead;0;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Warlock, Wizard;#!spells/Cantrips/Toll the Dead.md
no ritual,Bard*,Warlock*,Wizard*;True Strike;0;Divination;Aether;1 action;Concentration;;Concentration, up to 1 round;S;Bard, Warlock, Wizard;#!spells/Cantrips/True Strike.md
no conc,no concentration,no ritual,Bard*;Vicious Mockery;0;Enchantment (Compulsion);Darkness;1 action;;;Instantaneous;V;Bard, Sorcerer (Darkness Elemental);#!spells/Cantrips/Vicious Mockery.md
no conc,no concentration,no ritual,Cleric*;Virtue;0;Abjuration;Light;1 action;;;1 minute;V, S;Cleric;#!spells/Cantrips/Virtue.md
no conc,no concentration,no ritual,Cleric*;Word of Radiance;0;Evocation;Light;1 action;;;Instantaneous;V, F;Cleric, Sorcerer (Angel);#!spells/Cantrips/Word of Radiance.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Absorb Elements;1;Abjuration;Aether;1 reaction, which you take when you take acid, cold, ethereal, fire, lightning, shadow or sonic damage;Optional;;1 round / Concentration, up to 2 rounds;S;Druid, Ranger, Wizard;#!spells/Level1/Absorb Elements.md
no conc,no concentration,Ranger*,Wizard*;Alarm;1;Abjuration;Aether;1 minute;;Ritual;8 hours;V, S, F;Ranger, Wizard;#!spells/Level1/Alarm.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*;Animal Friendship;1;Enchantment (Charm);Light;1 action;;;24 hours;V, S, F, M (some food, which the target consumes);Bard, Cleric (Nature), Druid, Ranger;#!spells/Level1/Animal Friendship.md
no conc,no concentration,no ritual,Wizard*;Arcane Stream;1;Evocation;Water;1 action;;;1 round;V, S, F;Wizard;#!spells/Level1/Arcane Stream.md
no conc,no concentration,no ritual,Warlock*;Armor of the Abyss;1;Abjuration;Water;1 action;;;1 hour;V, S, F;Warlock, Paladin (Conquest);#!spells/Level1/Armor of the Abyss.md
no conc,no concentration,no ritual,Warlock*;Arms from Beyond;1;Conjuration (Creation);Death;1 action;;;Instantaneous;V, S;Warlock;#!spells/Level1/Arms from Beyond.md
no conc,no concentration,no ritual,Ranger*,Paladin*,Wizard*;Attract or Repulse Missiles;1;Transmutation;Air;1 action;;;1 round;S;Ranger, Paladin, Wizard;#!spells/Level1/Attract or Repulse Missiles.md
no ritual,Bard*,Cleric*;Bane;1;Evocation;Death;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Paladin (Vengeance), Sorcerer (Efreeti);#!spells/Level1/Bane.md
no ritual,Druid*,Ranger*;Beast Bond;1;Divination;Fire;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Druid, Ranger;#!spells/Level1/Beast Bond.md
no ritual,Cleric*,Paladin*;Bless;1;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric, Cleric (Life), Cleric (Solidarity), Paladin;#!spells/Level1/Bless.md
no conc,no concentration,no ritual,Wizard*;Burning Hands;1;Evocation;Fire;1 action;;;Instantaneous;V, S;Cleric (Light), Warlock (Fiend), Warlock (Eternal Flame), Wizard;#!spells/Level1/Burning Hands.md
no conc,no concentration,no ritual,Wizard*;Catapult;1;Transmutation;Earth;1 action;;;Instantaneous;S;Wizard;#!spells/Level1/Catapult.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Cause Fear;1;Enchantment (Compulsion);Death;1 action;;;1 minute;V;Warlock, Wizard;#!spells/Level1/Cause Fear.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Cauterize Wounds;1;Transmutation;Fire;1 action;;;1d6 - 2 rounds;V, S;Warlock, Wizard;#!spells/Level1/Cauterize Wounds.md
no conc,no concentration,Cleric*,Paladin*;Ceremony;1;Evocation;Light;1 hour;;Ritual;Instantaneous;V, S, F, M (25 gp worth of powdered silver, which the spell consumes);Cleric, Paladin;#!spells/Level1/Ceremony.md
no conc,no concentration,no ritual,Wizard*;Chaos Bolt;1;Evocation;Aether;1 action;;;Instantaneous;V, S, M (a kaosite worth at least 25 gp);Wizard;#!spells/Level1/Chaos Bolt.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Charm Person;1;Enchantment (Charm);Darkness;1 action;;;1 hour;V, S;Bard, Cleric (Trickery), Druid, Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Charm Person.md
no conc,no concentration,no ritual,Wizard*;Chromatic Orb;1;Evocation;Light;1 action;;;Instantaneous;V, S, M (a mystic quartz worth at least 50 gp);Wizard;#!spells/Level1/Chromatic Orb.md
no conc,no concentration,no ritual,Wizard*;Color Spray;1;Illusion (Pattern);Light;1 action;;;1d4 rounds;V, S, M (a handful of sand or powder, which the spell consumes);Wizard;#!spells/Level1/Color Spray.md
no conc,no concentration,no ritual,Cleric*,Warlock*;Command;1;Enchantment (Compulsion);Aether;1 action;;;1 round;V;Cleric, Cleric (Knowledge), Paladin (Crown), Paladin (Conquest), Warlock;#!spells/Level1/Command.md
no ritual,Paladin*;Compelled Duel;1;Enchantment (Compulsion);Earth;1 bonus action;Concentration;;Concentration, up to 1 minute;V;Paladin, Paladin (Crown), Cleric (Protection), Sorcerer (Stone);#!spells/Level1/Compelled Duel.md
no ritual,Bard*,Warlock*,Wizard*;Comprehend Languages;1;Divination;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Warlock, Wizard;#!spells/Level1/Comprehend Languages.md
no conc,no concentration,no ritual,Cleric*,Druid*;Create or Destroy Water;1;Conjuration (Creation) / Transmutation;Water;1 action;;;Instantaneous;V, S, F, M (a drop of water if creating water);Cleric, Druid, Sorcerer (Water Elemental);#!spells/Level1/Create or Destroy Water.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Cure Wounds;1;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Bard, Cleric, Druid, Paladin, Ranger, Sorcerer (Angel), Warlock (Eternal Flame);#!spells/Level1/Cure Wounds.md
Cleric*,Paladin*;Detect Evil or Good;1;Divination;Light;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Cleric, Paladin, Sorcerer (Angel), Sorcerer (Desire Demon);#!spells/Level1/Detect Evil or Good.md
Bard*,Cleric*,Druid*,Paladin*,Ranger*,Sorcerer*,Wizard*;Detect Magic;1;Divination;Aether;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Cleric (Arcana), Druid, Paladin, Ranger, Sorcerer, Wizard;#!spells/Level1/Detect Magic.md
Cleric*,Druid*,Paladin*,Ranger*;Detect Poison and Disease;1;Divination;Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S, F;Cleric, Druid, Paladin, Ranger, Sorcerer (Darkness Elemental);#!spells/Level1/Detect Poison and Disease.md
no conc,no concentration,no ritual,Bard*,Wizard*;Disguise Self;1;Illusion (Glamer);Darkness;1 action;;;1 hour;V, S;Bard, Cleric (Ambition), Cleric (Trickery), Wizard;#!spells/Level1/Disguise Self.md
no conc,no concentration,no ritual,Bard*;Dissonant Whispers;1;Enchantment (Compulsion);Darkness;1 action;;;Instantaneous;V;Bard, Warlock (Great Old One);#!spells/Level1/Dissonant Whispers.md
no ritual,Paladin*;Divine Favor;1;Evocation;Light;1 bonus action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Strength), Cleric (War), Paladin;#!spells/Level1/Divine Favor.md
no conc,no concentration,no ritual,Bard*,Druid*,Wizard*;Earth Tremor;1;Evocation;Earth;1 action;;;Instantaneous;V, S;Bard, Druid, Wizard;#!spells/Level1/Earth Tremor.md
no conc,no concentration,no ritual,Ranger*;Ensnaring Strike;1;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;Paladin (Ancients), Ranger;#!spells/Level1/Ensnaring Strike.md
no conc,no concentration,no ritual,Druid*;Entangle;1;Conjuration (Creation);Earth;1 action;;;1 minute;V, S;Druid;#!spells/Level1/Entangle.md
no ritual,Warlock*,Wizard*;Expeditious Retreat;1;Transmutation;Air;1 bonus action;Concentration;;Concentration, up to 10 minutes;V, S;Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Expeditious Retreat.md
no ritual,Bard*,Druid*;Faerie Fire;1;Evocation;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Bard, Cleric (Light), Druid, Warlock (Archfey);#!spells/Level1/Faerie Fire.md
no conc,no concentration,no ritual,Wizard*;False Life;1;Necromancy (Black);Death;1 action;;;1 minute;V, S, F;Cleric (Death), Cleric (Grave), Wizard;#!spells/Level1/False Life.md
no conc,no concentration,no ritual,Bard*,Wizard*;Feather Fall;1;Transmutation;Air;1 reaction;;;1 minute;V, F;Bard, Warlock (Seeker), Wizard;#!spells/Level1/Feather Fall.md
no conc,no concentration,Wizard*;Find Familiar;1;Conjuration (Calling);Aether;1 hour;;Ritual;Instantaneous;V, S, M (10 gp worth of kaosite dust and herbs that must be consumed by fire, plus incense);Wizard;#!spells/Level1/Find Familiar.md
no conc,no concentration,Wizard*;Floating Disk;1;Conjuration (Creation);Aether;1 action;;Ritual;1 hour;V, S, M (a drop of mercury);Wizard;#!spells/Level1/Floating Disk.md
no ritual,Druid*,Ranger*,Wizard*;Fog Cloud;1;Conjuration (Creation);Air;1 action;Concentration;;1 hour;V, S;Cleric (Tempest), Druid, Ranger, Wizard;#!spells/Level1/Fog Cloud.md
no conc,no concentration,no ritual,Druid*,Ranger*;Goodberry;1;Transmutation;Light;1 action;;;Instantaneous;V, S, F;Druid, Ranger;#!spells/Level1/Goodberry.md
no conc,no concentration,no ritual,Wizard*;Grease;1;Conjuration (Creation);Earth;1 action;;;1 minute;V, S, F;Wizard;#!spells/Level1/Grease.md
no conc,no concentration,no ritual,Cleric*;Guiding Bolt;1;Evocation;Light;1 action;;;1 round;V, S;Cleric, Cleric (Solidarity);#!spells/Level1/Guiding Bolt.md
Bard*,Cleric*,Druid*,Wizard*;Guiding Hand;1;Divination;Aether;1 minute;Concentration;Ritual;Concentration, up to 8 hours;V, S;Bard, Cleric, Druid, Wizard;#!spells/Level1/Guiding Hand.md
no conc,no concentration,no ritual,Ranger*;Hail of Thorns;1;Conjuration (Creation);Earth;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Ranger;#!spells/Level1/Hail of Thorns.md
no conc,no concentration,no ritual,Warlock*;Hellish Rebuke;1;Evocation;Fire;1 reaction;;;Instantaneous;V, S;Paladin (Oathbreaker), Warlock;#!spells/Level1/Hellish Rebuke.md
no ritual,Bard*,Paladin*;Heroism;1;Enchantment (Compulsion);Light;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Paladin;#!spells/Level1/Heroism.md
no ritual,Warlock*;Hex;1;Necromancy (Black);Death;1 bonus action;Concentration;;Concentration, up to 1 hour;V, S, F;Warlock;#!spells/Level1/Hex.md
no ritual,Bard*,Wizard*;Hideous Laughter;1;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock (Great Old One), Wizard;#!spells/Level1/Hideous Laughter.md
no ritual,Ranger*;Hunter's Mark;1;Divination;Fire;1 bonus action;Concentration;;Concentration, up to 1 hour;V;Paladin (Vengeance), Ranger;#!spells/Level1/Hunters Mark.md
no conc,no concentration,no ritual,Druid*,Wizard*;Ice Knife;1;Conjuration (Creation);Water;1 action;;;Instantaneous;S, F;Druid, Wizard;#!spells/Level1/Ice Knife.md
no conc,no concentration,Bard*,Wizard*;Identify;1;Divination;Water;1 minute;;Ritual;Instantaneous;V, S, M (a mystic quartz worth at least 100 gp);Bard, Cleric (Knowledge), Wizard;#!spells/Level1/Identify.md
no conc,no concentration,Bard*,Warlock*,Wizard*;Illusory Script;1;Illusion (Phantasm);Darkness;1 minute;;Ritual;10 days;S, M (an amethyst-based ink worth at least 10 gp, which the spell consumes);Bard, Warlock, Wizard;#!spells/Level1/Illusory Script.md
no ritual,Wizard*;Infallible Relay;1;Divination;Aether;1 minute;Concentration;;Concentration, up to 10 minutes;V, S, M (a mobile phone);Warlock (Ghost in the Machine), Wizard;#!spells/Level1/Infallible Relay.md
no conc,no concentration,no ritual,Cleric*;Inflict Wounds;1;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Paladin (Oathbreaker);#!spells/Level1/Inflict Wounds.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Jump;1;Transmutation;Air;1 action;;;1 minute;V, S, F;Druid, Ranger, Warlock (Seeker), Wizard;#!spells/Level1/Jump.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*,Wizard*;Longstrider;1;Transmutation;Air;1 action;;;1 hour;V, S, F;Bard, Druid, Ranger, Wizard;#!spells/Level1/Longstrider.md
no conc,no concentration,no ritual,Wizard*;Mage Armor;1;Abjuration;Aether;1 action;;;8 hours;V, S, F;Wizard;#!spells/Level1/Mage Armor.md
no conc,no concentration,no ritual,Wizard*;Magic Missile;1;Evocation;Aether;1 action;;;Instantaneous;V, S;Cleric (Arcana), Wizard;#!spells/Level1/Magic Missile.md
no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Protection from Evil or Good;1;Abjuration;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, M (holy/unholy water, depending on target alignment, or powdered silver and iron, which the spell consumes);Cleric, Cleric (Protection), Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level1/Protection from Evil or Good.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Puppet;1;Enchantment (Compulsion);Darkness;1 action;;;Instantaneous / 1 round;S;Bard, Warlock, Wizard;#!spells/Level1/Puppet.md
no conc,no concentration,Cleric*,Druid*,Paladin*;Purify Food and Drink;1;Abjuration;Light;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Paladin;#!spells/Level1/Purify Food and Drink.md
no conc,no concentration,no ritual,Wizard*;Ray of Sickness;1;Necromancy (Black);Death;1 action;;;Instantaneous / 1 round;V, S;Cleric (Death), Wizard;#!spells/Level1/Ray of Sickness.md
no ritual,Wizard*;Remote Access;1;Transmutation;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric (City), Warlock (Ghost in the Machine), Wizard;#!spells/Level1/Remote Access.md
no conc,no concentration,no ritual,Wizard*;Repair Damage;1;Transmutation;Aether;1 action;;;Instantaneous;V, S;Cleric (City), Wizard;#!spells/Level1/Repair Damage.md
no conc,no concentration,no ritual,Cleric*;Sanctuary;1;Abjuration;Light;1 bonus action;;;1 minute;V, S, F;Cleric, Paladin (Devotion);#!spells/Level1/Sanctuary.md
no conc,no concentration,no ritual,Paladin*;Searing Smite;1;Evocation;Fire;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Cleric (Forge), Cleric (Zeal), Paladin, Sorcerer (Fire Elemental);#!spells/Level1/Searing Smite.md
no ritual,Warlock*,Wizard*;Sense Emotion;1;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Warlock, Wizard;#!spells/Level1/Sense Emotion.md
no ritual,Cleric*,Paladin*;Shield of Faith;1;Abjuration;Light;1 bonus action;Concentration;;1 minute;V, S, F;Cleric, Cleric (Strength), Cleric (War), Paladin;#!spells/Level1/Shield of Faith.md
no conc,no concentration,no ritual,Wizard*;Shield;1;Abjuration;Aether;1 reaction;;;1 round;V, S, F;Cleric (Forge), Wizard;#!spells/Level1/Shield.md
no ritual,Bard*,Wizard*;Silent Image;1;Illusion (Figment);Light;1 action;Concentration;;Concentration, up to 10 minute;V, S, F;Bard, Wizard;#!spells/Level1/Silent Image.md
no conc,no concentration,no ritual,Bard*,Wizard*;Sleep;1;Enchantment (Compulsion);Darkness;1 action;;;1 minute;V, S, F;Bard, Warlock (Archfey), Wizard;#!spells/Level1/Sleep.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Snare;1;Transmutation;Darkness;1 minute;;;1 day;V, S, M (25 feet of rope, which the spell consumes);Druid, Ranger, Wizard;#!spells/Level1/Snare.md
no conc,no concentration,Cleric*,Druid*,Warlock*,Wizard*;Soil Food and Drink;1;Transmutation;Death;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Warlock, Wizard;#!spells/Level1/Soil Food and Drink.md
no conc,no concentration,Bard*,Druid*,Ranger*;Speak with Animals;1;Divination;Fire;1 action;;Ritual;10 minutes;V, S;Bard, Cleric (Nature), Druid, Paladin (Ancients), Ranger;#!spells/Level1/Speak with Animals.md
no conc,no concentration,no ritual,Bard*,Ranger*;Sudden Awakening;1;Enchantment (Compulsion);Light;1 bonus action;;;Instantaneous;V;Bard, Ranger, Sorcerer (Dream Walker);#!spells/Level1/Sudden Awakening.md
no conc,no concentration,no ritual,Paladin*;Thunderous Smite;1;Evocation;Air;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Cleric (Zeal), Paladin, Sorcerer (Earth Elemental);#!spells/Level1/Thunderous Smite.md
no conc,no concentration,no ritual,Bard*,Druid*,Wizard*;Thunderwave;1;Evocation;Air;1 action;;;Instantaneous;V, S;Bard, Cleric (Tempest), Druid, Wizard;#!spells/Level1/Thunderwave.md
no ritual,Bard*;Unearthly Chorus;1;Illusion (Pattern);Darkness;1 action;Concentration;;Concentration, up to 10 minutes;V;Bard;#!spells/Level1/Unearthly Chorus.md
no conc,no concentration,Bard*,Warlock*,Wizard*;Unseen Servant;1;Conjuration;Aether;1 action;;Ritual;1 hour;V, S, F;Bard, Warlock, Wizard;#!spells/Level1/Unseen Servant.md
no conc,no concentration,Druid*,Ranger*;Wild Cunning;1;Conjuration (Calling);Fire;10 minutes;;Ritual;Instantaneous;V, S, F;Druid, Ranger;#!spells/Level1/Wild Cunning.md
no ritual,Warlock*,Wizard*;Witch Bolt;1;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Warlock, Wizard;#!spells/Level1/Witch Bolt.md
no conc,no concentration,no ritual,Paladin*;Wrathful Smite;1;Evocation;Death;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Paladin;#!spells/Level1/Wrathful Smite.md
no conc,no concentration,no ritual,Ranger*;Zephyr Strike;1;Transmutation;Air;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Ranger, Sorcerer (Air Elemental);#!spells/Level1/Zephyr Strike.md
no conc,no concentration,no ritual,Cleric*,Paladin*;Aid;2;Abjuration;Light;1 action;;;8 hours;V, S, F;Cleric, Paladin, Cleric (Protection), Cleric (Solidarity);#!spells/Level2/Aid.md
no conc,no concentration,no ritual,Wizard*;Alter Self;2;Transmutation;Earth;1 action;;;1 hour;V, S;Wizard;#!spells/Level2/Alter Self.md
no conc,no concentration,Bard*,Druid*,Ranger*;Animal Messenger;2;Enchantment (Compulsion);Fire;1 action;;Ritual;24 hours;V, S, F;Bard, Druid, Ranger;#!spells/Level2/Animal Messenger.md
no ritual,Warlock*,Wizard*;Arcane Hacking;2;Transmutation;Aether;1 action;Concentration;;Concentration, up to 1 hour;V, S, M (hacking tools);Warlock, Wizard, Warlock (Ghost in the Machine);#!spells/Level2/Arcane Hacking.md
no conc,no concentration,no ritual,Wizard*;Arcane Lock;2;Abjuration;Aether;1 action;;;Until dispelled;V, S, M (gold dust worth at least 25 gp, which the spell consumes);Wizard;#!spells/Level2/Arcane Lock.md
no conc,no concentration,Cleric*;Augury;2;Divination;Aether;1 minute;;Ritual;Instantaneous;V, S, F, M (a holy symbol worth at least 25 gp);Cleric, Cleric (Knowledge);#!spells/Level2/Augury.md
no conc,no concentration,no ritual,Druid*,Ranger*;Barkskin;2;Transmutation;Earth;1 action;;;1 hour;V, S, F;Cleric (Nature), Druid, Druid (Forest), Ranger;#!spells/Level2/Barkskin.md
Druid*,Ranger*;Beast Sense;2;Divination;Fire;1 action;Concentration;Ritual;Concentration, up to 1 hour;S;Druid, Ranger;#!spells/Level2/Beast Sense.md
