!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Wizard*;Burning Hands;1;Evocation;Fire;1 action;;;Instantaneous;V, S;Cleric (Light), Warlock (Aeonian Flame), Warlock (Fiend), Wizard;#!spells/Level1/Burning Hands.md
no conc,no concentration,Cleric*,Paladin*;Ceremony;1;Evocation;Light;1 hour;;Ritual;Instantaneous;V, S, F, M (25 gp worth of powdered silver, which the spell consumes);Cleric, Paladin;#!spells/Level1/Ceremony.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Charm Person;1;Enchantment (Charm);Darkness;1 action;;;1 hour;V, S;Bard, Cleric (Trickery), Druid, Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Charm Person.md
no conc,no concentration,no ritual,Cleric*,Warlock*;Command;1;Enchantment (Compulsion);Aether;1 action;;;1 round;V;Cleric, Cleric (Knowledge), Cleric (Obedience), Paladin (Crown), Paladin (Conquest), Warlock;#!spells/Level1/Command.md
no ritual,Paladin*;Compelled Duel;1;Enchantment (Compulsion);Earth;1 bonus action;Concentration;;Concentration, up to 1 minute;V;Paladin, Paladin (Crown), Cleric (Protection), Sorcerer (Stone);#!spells/Level1/Compelled Duel.md
no conc,no concentration,no ritual,Cleric*,Druid*;Create or Destroy Water;1;Conjuration (Creation) / Transmutation;Water;1 action;;;Instantaneous;V, S, F, M (a drop of water if creating water);Cleric, Druid, Sorcerer (Water Elemental);#!spells/Level1/Create or Destroy Water.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Cure Wounds;1;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level1/Cure Wounds.md
Cleric*,Paladin*;Detect Evil or Good;1;Divination;Light;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Cleric, Paladin, Sorcerer (Angel), Sorcerer (Desire Demon);#!spells/Level1/Detect Evil or Good.md
Bard*,Cleric*,Druid*,Paladin*,Ranger*,Sorcerer*,Wizard*;Detect Magic;1;Divination;Aether;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Cleric (Arcana), Druid, Paladin, Ranger, Sorcerer, Warlock (Seeker), Wizard;#!spells/Level1/Detect Magic.md
Cleric*,Druid*,Paladin*,Ranger*;Detect Poison and Disease;1;Divination;Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S, F;Cleric, Druid, Paladin, Ranger, Sorcerer (Darkness Elemental);#!spells/Level1/Detect Poison and Disease.md
no conc,no concentration,no ritual,Bard*,Wizard*;Disguise Self;1;Illusion (Glamer);Darkness;1 action;;;1 hour;V, S;Bard, Cleric (Trickery), Wizard;#!spells/Level1/Disguise Self.md
no ritual,Paladin*;Divine Favor;1;Evocation;Light;1 bonus action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (War), Paladin;#!spells/Level1/Divine Favor.md
no ritual,Bard*,Druid*;Faerie Fire;1;Evocation;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Bard, Cleric (Light), Druid, Warlock (Archfey);#!spells/Level1/Faerie Fire.md
no conc,no concentration,no ritual,Wizard*;False Life;1;Necromancy (Black);Death;1 action;;;1 minute;V, S, F;Cleric (Death), Cleric (Grave), Warlock (Undying), Wizard;#!spells/Level1/False Life.md
no ritual,Druid*,Ranger*,Wizard*;Fog Cloud;1;Conjuration (Creation);Air;1 action;Concentration;;1 hour;V, S;Cleric (Tempest), Druid, Ranger, Warlock (Void), Wizard;#!spells/Level1/Fog Cloud.md
no conc,no concentration,no ritual,Cleric*;Guiding Bolt;1;Evocation;Light;1 action;;;1 round;V, S;Cleric, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level1/Guiding Bolt.md
Bard*,Cleric*,Druid*,Wizard*;Guiding Hand;1;Divination;Aether;1 minute;Concentration;Ritual;Concentration, up to 8 hours;V, S;Bard, Cleric, Druid, Wizard;#!spells/Level1/Guiding Hand.md
no ritual,Bard*,Paladin*;Heroism;1;Enchantment (Compulsion);Light;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric (Obedience), Paladin;#!spells/Level1/Heroism.md
no conc,no concentration,Bard*,Wizard*;Identify;1;Divination;Water;1 minute;;Ritual;Instantaneous;V, S, M (a mystic quartz worth at least 100 gp);Bard, Cleric (Forge), Cleric (Knowledge), Warlock (Seeker), Wizard;#!spells/Level1/Identify.md
no conc,no concentration,no ritual,Cleric*;Inflict Wounds;1;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Paladin (Oathbreaker), Sorcerer (Desire Demon), Warlock (Fiend);#!spells/Level1/Inflict Wounds.md
no conc,no concentration,no ritual,Wizard*;Magic Missile;1;Evocation;Aether;1 action;;;Instantaneous;V, S;Cleric (Arcana), Wizard;#!spells/Level1/Magic Missile.md
no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Protection from Evil or Good;1;Abjuration;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, M (holy/unholy water, depending on target alignment, or powdered silver and iron, which the spell consumes);Cleric, Cleric (Protection), Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level1/Protection from Evil or Good.md
no conc,no concentration,Cleric*,Druid*,Paladin*;Purify Food and Drink;1;Abjuration;Light;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Paladin;#!spells/Level1/Purify Food and Drink.md
no conc,no concentration,no ritual,Wizard*;Ray of Sickness;1;Necromancy (Black);Death;1 action;;;Instantaneous / 1 round;V, S;Cleric (Death), Warlock (Undying), Wizard;#!spells/Level1/Ray of Sickness.md
no ritual,Wizard*;Remote Access;1;Transmutation;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric (City), Warlock (Ghost in the Machine), Wizard;#!spells/Level1/Remote Access.md
no conc,no concentration,no ritual,Wizard*;Repair Damage;1;Transmutation;Aether;1 action;;;Instantaneous;V, S;Cleric (City), Wizard;#!spells/Level1/Repair Damage.md
no conc,no concentration,no ritual,Cleric*;Sanctuary;1;Abjuration;Light;1 bonus action;;;1 minute;V, S, F;Cleric, Paladin (Devotion), Warlock (Great Old One);#!spells/Level1/Sanctuary.md
no conc,no concentration,no ritual;Sanguine Mist;1;Hemomancy;Water;1 action;;;Instantaneous;S;Cleric (Blood);#!spells/Level1/Sanguine Mist.md
no conc,no concentration,no ritual,Paladin*;Searing Smite;1;Evocation;Fire;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Cleric (Forge), Cleric (Zeal), Paladin, Sorcerer (Fire Elemental);#!spells/Level1/Searing Smite.md
no ritual,Cleric*,Paladin*;Shield of Faith;1;Abjuration;Light;1 bonus action;Concentration;;1 minute;V, S, F;Cleric, Cleric (War), Paladin;#!spells/Level1/Shield of Faith.md
no conc,no concentration,no ritual,Bard*,Wizard*;Sleep;1;Enchantment (Compulsion);Darkness;1 action;;;1 minute;V, S, F;Bard, Cleric (Blood), Warlock (Archfey), Warlock (Void), Wizard;#!spells/Level1/Sleep.md
no conc,no concentration,Cleric*,Druid*,Warlock*,Wizard*;Soil Food and Drink;1;Transmutation;Death;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Sorcerer (Darkness Elemental), Warlock, Wizard;#!spells/Level1/Soil Food and Drink.md
no conc,no concentration,Bard*,Druid*,Ranger*;Speak with Animals;1;Divination;Fire;1 action;;Ritual;10 minutes;V, S;Bard, Cleric (Nature), Druid, Paladin (Ancients), Ranger;#!spells/Level1/Speak with Animals.md
no conc,no concentration,no ritual,Paladin*;Thunderous Smite;1;Evocation;Air;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Cleric (Zeal), Paladin, Sorcerer (Earth Elemental);#!spells/Level1/Thunderous Smite.md
no conc,no concentration,no ritual,Bard*,Druid*,Wizard*;Thunderwave;1;Evocation;Air;1 action;;;Instantaneous;V, S;Bard, Cleric (Tempest), Druid, Wizard;#!spells/Level1/Thunderwave.md
no conc,no concentration,no ritual,Cleric*,Paladin*;Aid;2;Abjuration;Light;1 action;;;8 hours;V, S, F;Cleric, Paladin, Cleric (Preservation), Cleric (Protection);#!spells/Level2/Aid.md
no conc,no concentration,Cleric*;Augury;2;Divination;Aether;1 minute;;Ritual;Instantaneous;V, S, F, M (a holy symbol worth at least 25 gp);Cleric, Cleric (Knowledge), Sorcerer (Dream Walker), Warlock (Seeker);#!spells/Level2/Augury.md
no conc,no concentration,no ritual,Druid*,Ranger*;Barkskin;2;Transmutation;Earth;1 action;;;1 hour;V, S, F;Cleric (Nature), Druid, Druid (Forest), Ranger;#!spells/Level2/Barkskin.md
no conc,no concentration,no ritual,Bard*,Cleric*,Wizard*;Blindness/Deafness;2;Necromancy (Black);Death;1 action;;;1 minute;V;Bard, Cleric, Cleric (Death), Warlock (Great Old One), Warlock (Undying), Warlock (Void), Wizard;#!spells/Level2/Blindness-Deafness.md
no conc,no concentration,no ritual;Blood Burst;2;Hemomancy;Water;1 reaction;;;Instantaneous;V, S;Cleric (Blood);#!spells/Level2/Blood Burst.md
no ritual,Bard*,Cleric*;Calm Emotions;2;Enchantment (Compulsion);Water;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric, Sorcerer (Water Elemental), Warlock (Archfey);#!spells/Level2/Calm Emotions.md
no conc,no concentration,no ritual,Cleric*,Wizard*;Continual Flame;2;Evocation;Fire;1 action;;;Until dispelled;V, S, M (ruby dust worth 50 gp, which the spell consumes);Cleric, Wizard;#!spells/Level2/Continual Flame.md
no conc,no concentration,no ritual,Wizard*;Deceptive Aura;2;Illusion (Glamer);Darkness;1 action;;;24 hours;V, S, M (a handful of apatite dust, which the spell consumes, and a small square of silk);Cleric (Arcana), Wizard;#!spells/Level2/Deceptive Aura.md
no ritual,Bard*,Cleric*,Druid*;Enhance Ability;2;Transmutation;Light;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric, Druid, Sorcerer (Djinni);#!spells/Level2/Enhance Ability.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*;Find Traps;2;Divination;Aether;1 action;;;Instantaneous;V, S;Cleric, Druid, Ranger;#!spells/Level2/Find Traps.md
no conc,no concentration,Cleric*,Wizard*;Gentle Repose;2;Necromancy (White);Light;1 action;;Ritual;10 days;V, S, M (holy water, which the spell consumes, and one coin placed on each of the corpse's eyes, which must remain there for the duration);Cleric, Wizard, Cleric (Grave);#!spells/Level2/Gentle Repose.md
no ritual,Druid*,Wizard*;Gust of Wind;2;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Tempest), Druid, Wizard;#!spells/Level2/Gust of Wind.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*;Healing Word;2;Necromancy (White);Light;1 reaction;;;Instantaneous;V;Bard, Cleric, Druid, Warlock (Aeonian Flame);#!spells/Level2/Healing Word.md
no ritual,Bard*,Druid*;Heat Metal;2;Transmutation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Druid, Cleric (City), Cleric (Forge);#!spells/Level2/Heat Metal.md
no ritual,Bard*,Cleric*,Druid*,Warlock*,Wizard*;Hold Person;2;Enchantment;Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Cleric (Obedience), Druid, Warlock, Wizard, Druid (Arctic), Paladin (Vengeance), Paladin (Conquest);#!spells/Level2/Hold Person.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Lesser Restoration;2;Abjuration;Light;1 action;;;Instantaneous;V, S, F;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Paladin (Devotion), Ranger, Warlock (Aeonian Flame);#!spells/Level2/Lesser Restoration.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*;Locate Object;2;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Cleric, Druid, Paladin, Ranger, Wizard, Warlock (Seeker);#!spells/Level2/Locate Object.md
no conc,no concentration,no ritual,Paladin*,Wizard*;Magic Weapon;2;Transmutation;Aether;1 bonus action;;;1 hour;V, S;Paladin, Wizard, Cleric (Arcana), Cleric (War), Cleric (Forge), Cleric (Zeal);#!spells/Level2/Magic Weapon.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Mirror Image;2;Illusion (Figment);Darkness;1 action;;;1 minute;V, S;Warlock, Wizard, Cleric (Trickery), Druid (Coast), Paladin (Treachery);#!spells/Level2/Mirror Image.md
no ritual,Druid*;Moonbeam;2;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (several seeds of any moonseed plant and a piece of opalescent feldspar);Cleric (Light), Druid, Paladin (Ancients);#!spells/Level2/Moonbeam.md
no ritual,Druid*,Ranger*;Pass Without Trace;2;Abjuration;Earth;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Cleric (Trickery), Druid, Druid (Grassland), Ranger;#!spells/Level2/Pass Without Trace.md
no conc,no concentration,no ritual,Cleric*;Prayer of Healing;2;Necromancy (White);Light;1 bonus action;;;Concentration, up to 1 minute;V, S, F;Cleric;#!spells/Level2/Prayer of Healing.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*;Protection from Poison;2;Abjuration;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Protection), Druid, Paladin, Ranger;#!spells/Level2/Protection from Poison.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Ray of Enfeeblement;2;Necromancy (Black);Death;1 action;;;1 minute;V, S;Cleric (Blood), Cleric (Death), Warlock, Wizard, Cleric (Grave);#!spells/Level2/Ray of Enfeeblement.md
no conc,no concentration,no ritual,Wizard*;Scorching Ray;2;Evocation;Fire;1 action;;;Instantaneous;V, S, F;Wizard, Cleric (Light), Warlock (Aeonian Flame), Warlock (Fiend);#!spells/Level2/Scorching Ray.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Shatter;2;Evocation;Air;1 action;;;Instantaneous;V, S, F;Bard, Warlock, Wizard, Cleric (Tempest), Cleric (Zeal);#!spells/Level2/Shatter.md
Bard*,Cleric*,Ranger*;Silence;2;Illusion (Glamer);Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Ranger, Druid (Desert), Warlock (Undying), Warlock (Void);#!spells/Level2/Silence.md
no ritual,Druid*,Ranger*;Spike Growth;2;Transmutation;Earth;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric (Nature), Druid, Druid (Arctic), Druid (Mountain), Ranger, Warlock (Archfey);#!spells/Level2/Spike Growth.md
no conc,no concentration,no ritual,Cleric*;Spiritual Weapon;2;Conjuration (Creation);Aether;1 bonus action;;;1 minute;V, S;Cleric, Cleric (Life), Cleric (War), Oath (Conquest);#!spells/Level2/Spiritual Weapon.md
no ritual,Bard*,Warlock*,Wizard*;Suggestion;2;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 8 hours;V, F;Bard, Cleric (Knowledge), Warlock, Wizard;#!spells/Level2/Suggestion.md
no conc,no concentration,no ritual,Cleric*;Warding Bond;2;Abjuration;Light;1 action;;;1 hour;V, S, F, M (a pair of white gold rings worth at least 50 gp each, which you and target must wear for the duration);Cleric, Paladin (Crown);#!spells/Level2/Warding Bond.md
no conc,no concentration,no ritual,Bard*,Cleric*,Paladin*;Zone of Truth;2;Enchantment (Compulsion);Water;1 action;;;10 minutes;V;Bard, Cleric, Cleric (Obedience), Paladin, Paladin (Devotion), Paladin (Crown);#!spells/Level2/Zone of Truth.md
no conc,no concentration,no ritual,Cleric*,Wizard*;Animate Dead;3;Necromancy (Black);Death;1 minute;;;24 hours;V, S, F;Cleric, Cleric (Death), Paladin (Oathbreaker), Wizard;#!spells/Level3/Animate Dead.md
no ritual,Cleric*;Beacon of Hope;3;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric, Cleric (Life), Cleric (Preservation), Paladin (Devotion), Sorcerer (Angel);#!spells/Level3/Beacon of Hope.md
no ritual,Bard*,Cleric*,Wizard*;Bestow Curse;3;Necromancy (Black);Death;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric, Paladin (Oathbreaker), Warlock (Great Old One), Wizard;#!spells/Level3/Bestow Curse.md
no conc,no concentration,no ritual,Wizard*;Blink;3;Conjuration (Teleportation);Aether;1 action;;;1 minute;V, S;Cleric (Trickery), Warlock (Archfey), Warlock (Void), Wizard;#!spells/Level3/Blink.md
no ritual,Druid*;Call Lightning;3;Conjuration (Creation);Air;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric (Tempest), Druid, Druid (Forest), Sorcerer (Air Elemental);#!spells/Level3/Call Lightning.md
no ritual,Bard*,Cleric*,Wizard*;Clairvoyance;3;Divination (Scrying);Water;10 minutes;Concentration;;Concentration, up to 10 minutes;V, S, M (a cosmic opal worth at least 100 gp);Bard, Cleric, Warlock (Great Old One), Wizard, Warlock (Seeker);#!spells/Level3/Clairvoyance.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*;Create Food and Water;3;Conjuration (Creation);Water;1 action;;;Instantaneous;V, S;Cleric, Druid, Druid (Desert), Paladin;#!spells/Level3/Create Food and Water.md
no ritual,Paladin*;Crusader's Mantle;3;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, F;Cleric (War), Paladin;#!spells/Level3/Crusaders Mantle.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*;Daylight;3;Evocation;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Light), Druid, Druid (Grassland), Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level3/Daylight.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Warlock*,Wizard*;Dispel Magic;3;Abjuration;Water;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Arcana), Cleric (Trickery), Druid, Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level3/Dispel Magic.md
no conc,no concentration,no ritual,Paladin*,Wizard*;Elemental Weapon;3;Transmutation;Aether;1 action;;;1 hour;V, S;Paladin, Cleric (Forge), Sorcerer (Darkness Elemental), Sorcerer (Fire Elemental), Sorcerer (Water Elemental), Wizard;#!spells/Level3/Elemental Weapon.md
no conc,no concentration,Bard*,Cleric*,Druid*,Wizard*;Feign Death;3;Necromancy (Black);Death;1 action;;Ritual;1 hour;V, S, F;Bard, Cleric, Druid, Warlock (Undying), Wizard;#!spells/Level3/Feign Death.md
no conc,no concentration,no ritual,Wizard*;Fireball;3;Evocation;Fire;1 action;;;Instantaneous;V, S, F;Cleric (Light), Warlock (Fiend), Wizard, Cleric (Zeal);#!spells/Level3/Fireball.md
no conc,no concentration,no ritual,Bard*,Cleric*,Wizard*;Glyph of Warding;3;Abjuration;Earth;1 hour;;;Until dispelled or triggered;V, S, M (incense and powdered gemstone worth at least 200 gp, which the spell consumes);Bard, Cleric, Wizard;#!spells/Level3/Glyph of Warding.md
no ritual,Wizard*;Haste;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Blood), Cleric (Zeal), Druid (Grassland), Paladin (Vengeance), Wizard, Paladin (Treachery);#!spells/Level3/Haste.md
no conc,no concentration,no ritual,Cleric*,Warlock*,Wizard*;Life Transference;3;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Cleric, Warlock, Wizard;#!spells/Level3/Life Transference.md
no conc,no concentration,no ritual,Wizard*;Lightning Bolt;3;Evocation;Air;1 action;;;Instantaneous;V, S, F;Druid (Mountain), Wizard, Cleric (City);#!spells/Level3/Lightning Bolt.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Magic Circle;3;Abjuration;Water;1 minute;;;1 hour;V, S, M (a component depending on the effect, which the spell consumes);Cleric, Cleric (Arcana), Paladin, Warlock, Wizard;#!spells/Level3/Magic Circle.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*;Mass Healing Word;3;Necromancy (White);Light;1 reaction;;;Instantaneous;V;Bard, Cleric, Cleric (Obedience), Druid;#!spells/Level3/Mass Healing Word.md
no conc,no concentration,Cleric*,Druid*;Meld into Stone;3;Transmutation;Earth;1 action;;Ritual;8 hours;V, S;Cleric, Druid, Druid (Mountain), Sorcerer (Earth Elemental), Warlock (Archfey);#!spells/Level3/Meld into Stone.md
no conc,no concentration,no ritual,Bard*,Ranger*,Wizard*;Nondetection;3;Abjuration;Darkness;1 action;;;8 hours;V, S, M (apatite dust worth at least 25 gp sprinkled over the target, which the spell consumes);Bard, Cleric (Knowledge), Ranger, Warlock (Void), Wizard;#!spells/Level3/Nondetection.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*;Plant Growth;3;Transmutation;Earth;1 action or 8 hours;;;Instantaneous;V, S;Bard, Cleric (Nature), Druid, Druid (Forest), Paladin (Ancients), Ranger, Warlock (Archfey);#!spells/Level3/Plant Growth.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Protection from Ballistics;3;Abjuration;Earth;1 action;;;10 minutes;V, S, F;Warlock, Wizard, Cleric (City);#!spells/Level3/Protection from Ballistics.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*,Wizard*;Protection from Energy;3;Abjuration;Water;1 action;;;10 minutes;V, S;Cleric, Cleric (Forge), Cleric (Preservation), Cleric (Protection), Druid, Druid (Desert), Paladin (Ancients), Paladin (Vengeance), Ranger, Warlock (Fiend), Wizard;#!spells/Level3/Protection from Energy.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Remove Curse;3;Abjuration;Light;1 action;;;Instantaneous;V, S, F, M (incense and one of the following: holy water, a vial of mercury worth at least 50 gp, diamond dust worth at least 50 gp, or cosmic opal dust worth at least 50 gp, all of which the spell consumes);Cleric, Paladin, Warlock, Wizard;#!spells/Level3/Remove Curse.md
no conc,no concentration,no ritual,Cleric*,Paladin*;Revivify;3;Necromancy (White);Light;1 action;;;Instantaneous;V, S, M (diamonds worth 300 gp, which the spell consumes);Cleric, Cleric (Life), Paladin, Cleric (Grave), Warlock (Aeonian Flame);#!spells/Level3/Revivify.md
no conc,no concentration,no ritual,Cleric*,Wizard*;Sending;3;Divination;Aether;1 action;;;1 round;V, S, M (a lapis lazuli, a sapphire, a cosmic opal or a TSR device);Cleric, Warlock (Great Old One), Wizard, Warlock (Seeker);#!spells/Level3/Sending.md
no ritual,Druid*,Wizard*;Sleet Storm;3;Conjuration (Creation);Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Tempest), Druid, Druid (Arctic), Warlock (Fiend), Wizard;#!spells/Level3/Sleet Storm.md
no ritual,Warlock*,Wizard*;Slow;3;Transmutation;Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Blood), Cleric (Obedience), Cleric (Protection), Druid (Arctic), Warlock, Wizard;#!spells/Level3/Slow.md
no ritual,Bard*,Cleric*;Speak with the Dead;3;Necromancy (Black);Death;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F, M (burning incense imbued with onyx dust);Bard, Cleric, Cleric (Knowledge), Warlock (Undying);#!spells/Level3/Speak with the Dead.md
no ritual,Cleric*;Spirit Guardians;3;Conjuration (Summoning);Light;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric, Cleric (War), Paladin (Crown);#!spells/Level3/Spirit Guardians.md
no ritual,Warlock*,Wizard*;Vampiric Touch;3;Necromancy (Black);Death;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Death), Warlock, Wizard, Cleric (Grave);#!spells/Level3/Vampiric Touch.md
no ritual,Druid*,Ranger*;Wall of Wind;3;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Nature), Druid, Ranger, Sorcerer (Air Elemental);#!spells/Level3/Wall of Wind.md
no conc,no concentration,Cleric*,Druid*,Ranger*;Water Walk;3;Transmutation;Water;1 action;;Ritual;1 hour;V, S, F;Cleric, Druid, Druid (Coast), Druid (Swamp), Ranger, Sorcerer (Water Elemental), Warlock (Void);#!spells/Level3/Water Walk.md
no ritual,Wizard*;Arcane Eye;4;Divination (Scrying);Aether;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Cleric (Arcana), Cleric (Knowledge), Warlock (Seeker), Wizard;#!spells/Level4/Arcane Eye.md
no ritual,Paladin*;Aura of Purity;4;Abjuration;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Cleric (Light), Paladin;#!spells/Level4/Aura of Purity.md
no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Banishment;4;Abjuration;Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (an item distasteful to the target);Cleric, Paladin, Paladin (Crown), Paladin (Vengeance), Warlock, Wizard;#!spells/Level4/Banishment.md
